Potential (V)	 Current (A)	 Elapsed Time (s)
-0,98907471	 -0,0001	 1131,5315
-0,99151611	 -0,0001	 1138,7387
-0,99243164	 -0,0001	 1145,9459
-0,99273682	 -0,0001	 1153,1532
-0,98876953	 -0,0001	 1160,3604
-0,99060059	 -0,0001	 1167,5676
-0,99182129	 -0,0001	 1174,7748
-0,98754883	 -0,0001	 1181,982
-0,98907471	 -0,0001	 1189,1892
-0,98999023	 -0,0001	 1196,3964
-0,99151611	 -0,0001	 1203,6036
-0,98693848	 -0,0001	 1210,8108
-0,98815918	 -0,0001	 1218,018
-0,99151611	 -0,0001	 1225,2252
-0,99456787	 -0,0001	 1232,4324
-0,99029541	 -0,0001	 1239,6396
-0,99517822	 -0,0001	 1246,8468
-0,98602295	 -0,0001	 1254,0541
-0,99029541	 -0,0001	 1261,2613
-0,99304199	 -0,0001	 1268,4685
-0,99121094	 -0,0001	 1275,6757
-0,99487305	 -0,0001	 1282,8829
-0,99212646	 -0,0001	 1290,0901
-0,987854	 -0,0001	 1297,2973
-0,98999023	 -0,0001	 1304,5045
-0,99151611	 -0,0001	 1311,7117
-0,98815918	 -0,0001	 1318,9189
-0,99121094	 -0,0001	 1326,1261
-0,9954834	 -0,0001	 1333,3333
-0,98968506	 -0,0001	 1340,5405
-0,99212646	 -0,0001	 1347,7477
-0,98937988	 -0,0001	 1354,955
-0,98754883	 -0,0001	 1362,1622
-0,99029541	 -0,0001	 1369,3694
-0,99365234	 -0,0001	 1376,5766
-0,99822998	 -0,0001	 1383,7838
-0,99151611	 -0,0001	 1390,991
-0,99273682	 -0,0001	 1398,1982
-0,99060059	 -0,0001	 1405,4054
-0,99212646	 -0,0001	 1412,6126
-0,99304199	 -0,0001	 1419,8198
-0,99761963	 -0,0001	 1427,027
-0,99182129	 -0,0001	 1434,2342
-0,99060059	 -0,0001	 1441,4414
-0,9942627	 -0,0001	 1448,6486
-0,99273682	 -0,0001	 1455,8559
-0,99365234	 -0,0001	 1463,0631
-0,99365234	 -0,0001	 1470,2703
-0,99121094	 -0,0001	 1477,4775
-0,99273682	 -0,0001	 1484,6847
-0,99060059	 -0,0001	 1491,8919
-0,99121094	 -0,0001	 1499,0991
-0,99243164	 -0,0001	 1506,3063
-0,99609375	 -0,0001	 1513,5135
-0,99182129	 -0,0001	 1520,7207
-0,99060059	 -0,0001	 1527,9279
-0,99395752	 -0,0001	 1535,1351
-0,99365234	 -0,0001	 1542,3423
-0,99060059	 -0,0001	 1549,5495
-0,99334717	 -0,0001	 1556,7568
-0,99182129	 -0,0001	 1563,964
-0,99243164	 -0,0001	 1571,1712
-0,99609375	 -0,0001	 1578,3784
-0,99182129	 -0,0001	 1585,5856
-0,99151611	 -0,0001	 1592,7928
-0,99029541	 -0,0001	 1600
-0,99487305	 -0,0001	 1607,2072
-0,9954834	 -0,0001	 1614,4144
-0,99060059	 -0,0001	 1621,6216
-0,99334717	 -0,0001	 1628,8288
-0,99578857	 -0,0001	 1636,036
-0,99273682	 -0,0001	 1643,2432
-0,99182129	 -0,0001	 1650,4505
-0,99243164	 -0,0001	 1657,6577
-0,99578857	 -0,0001	 1664,8649
-0,99334717	 -0,0001	 1672,0721
-0,99365234	 -0,0001	 1679,2793
-0,99456787	 -0,0001	 1686,4865
-0,99151611	 -0,0001	 1693,6937
-0,99151611	 -0,0001	 1700,9009
-0,99365234	 -0,0001	 1708,1081
-0,9967041	 -0,0001	 1715,3153
-0,99243164	 -0,0001	 1722,5225
-0,99121094	 -0,0001	 1729,7297
-0,9942627	 -0,0001	 1736,9369
-0,99395752	 -0,0001	 1744,1441
-0,99395752	 -0,0001	 1751,3514
-0,9942627	 -0,0001	 1758,5586
-0,99456787	 -0,0001	 1765,7658
-0,9954834	 -0,0001	 1772,973
-0,99365234	 -0,0001	 1780,1802
-0,9942627	 -0,0001	 1787,3874
-0,99304199	 -0,0001	 1794,5946
-0,99304199	 -0,0001	 1801,8018
-0,99334717	 -0,0001	 1809,009
-0,99395752	 -0,0001	 1816,2162
-0,99365234	 -0,0001	 1823,4234
-0,99395752	 -0,0001	 1830,6306
-0,99212646	 -0,0001	 1837,8378
-0,99334717	 -0,0001	 1845,045
-0,99334717	 -0,0001	 1852,2523
-0,99365234	 -0,0001	 1859,4595
-0,99945068	 -0,0001	 1866,6667
-0,9954834	 -0,0001	 1873,8739
-0,99517822	 -0,0001	 1881,0811
-0,99578857	 -0,0001	 1888,2883
-0,99945068	 -0,0001	 1895,4955
-0,99639893	 -0,0001	 1902,7027
-0,99639893	 -0,0001	 1909,9099
-0,9954834	 -0,0001	 1917,1171
-0,99761963	 -0,0001	 1924,3243
-0,99639893	 -0,0001	 1931,5315
-0,9967041	 -0,0001	 1938,7387
-0,99700928	 -0,0001	 1945,9459
-0,9954834	 -0,0001	 1953,1532
-0,99456787	 -0,0001	 1960,3604
-1,0028076	 -0,0001	 1967,5676
-0,99487305	 -0,0001	 1974,7748
-0,99578857	 -0,0001	 1981,982
-0,99761963	 -0,0001	 1989,1892
-0,99578857	 -0,0001	 1996,3964
-0,99945068	 -0,0001	 2003,6036
-0,99853516	 -0,0001	 2010,8108
-0,99945068	 -0,0001	 2018,018
-0,99517822	 -0,0001	 2025,2252
-0,99578857	 -0,0001	 2032,4324
-0,99609375	 -0,0001	 2039,6396
-0,99975586	 -0,0001	 2046,8468
-1,000061	 -0,0001	 2054,0541
-0,99975586	 -0,0001	 2061,2613
-0,99822998	 -0,0001	 2068,4685
-0,99761963	 -0,0001	 2075,6757
-0,9979248	 -0,0001	 2082,8829
-0,99975586	 -0,0001	 2090,0901
-0,99975586	 -0,0001	 2097,2973
-0,99853516	 -0,0001	 2104,5045
-0,99945068	 -0,0001	 2111,7117
-1,0009766	 -0,0001	 2118,9189
-0,9967041	 -0,0001	 2126,1261
-0,99975586	 -0,0001	 2133,3333
-1,0003662	 -0,0001	 2140,5405
-1,0021973	 -0,0001	 2147,7477
-1,003418	 -0,0001	 2154,955
-1,0015869	 -0,0001	 2162,1622
-0,99700928	 -0,0001	 2169,3694
-0,99853516	 -0,0001	 2176,5766
-1,0021973	 -0,0001	 2183,7838
-0,99975586	 -0,0001	 2190,991
-0,99884033	 -0,0001	 2198,1982
-0,99731445	 -0,0001	 2205,4054
-0,99945068	 -0,0001	 2212,6126
-0,99853516	 -0,0001	 2219,8198
-1,000061	 -0,0001	 2227,027
-1,0009766	 -0,0001	 2234,2342
-1,0064697	 -0,0001	 2241,4414
-1,003418	 -0,0001	 2248,6486
-1,0003662	 -0,0001	 2255,8559
-1,000061	 -0,0001	 2263,0631
-1,000061	 -0,0001	 2270,2703
-0,99914551	 -0,0001	 2277,4775
-1,000061	 -0,0001	 2284,6847
-0,99822998	 -0,0001	 2291,8919
-0,99884033	 -0,0001	 2299,0991
-0,99945068	 -0,0001	 2306,3063
-1,0015869	 -0,0001	 2313,5135
-0,99182129	 -0,0001	 2320,7207
-0,98968506	 -0,0001	 2327,9279
-0,98693848	 -0,0001	 2335,1351
-0,98358154	 -0,0001	 2342,3423
-0,97839355	 -0,0001	 2349,5495
-0,97991943	 -0,0001	 2356,7568
-0,98571777	 -0,0001	 2363,964
-0,98632813	 -0,0001	 2371,1712
-0,9765625	 -0,0001	 2378,3784
-0,96740723	 -0,0001	 2385,5856
-0,96374512	 -0,0001	 2392,7928
-0,96832275	 -0,0001	 2400
-0,9677124	 -0,0001	 2407,2072
-0,96710205	 -0,0001	 2414,4144
-0,96710205	 -0,0001	 2421,6216
-0,965271	 -0,0001	 2428,8288
-0,96130371	 -0,0001	 2436,036
-0,96343994	 -0,0001	 2443,2432
-0,95947266	 -0,0001	 2450,4505
-0,94940186	 -0,0001	 2457,6577
-0,94604492	 -0,0001	 2464,8649
-0,94085693	 -0,0001	 2472,0721
-0,93963623	 -0,0001	 2479,2793
-0,93811035	 -0,0001	 2486,4865
-0,93170166	 -0,0001	 2493,6937
-0,93078613	 -0,0001	 2500,9009
-0,9262085	 -0,0001	 2508,1081
-0,92498779	 -0,0001	 2515,3153
-0,92102051	 -0,0001	 2522,5225
-0,92224121	 -0,0001	 2529,7297
-0,92102051	 -0,0001	 2536,9369
-0,91766357	 -0,0001	 2544,1441
-0,91583252	 -0,0001	 2551,3514
-0,91369629	 -0,0001	 2558,5586
-0,91552734	 -0,0001	 2565,7658
-0,9185791	 -0,0001	 2572,973
-0,9173584	 -0,0001	 2580,1802
-0,91064453	 -0,0001	 2587,3874
-0,90789795	 -0,0001	 2594,5946
-0,90942383	 -0,0001	 2601,8018
-0,90789795	 -0,0001	 2609,009
-0,90393066	 -0,0001	 2616,2162
-0,90698242	 -0,0001	 2623,4234
-0,90393066	 -0,0001	 2630,6306
-0,90637207	 -0,0001	 2637,8378
-0,90240479	 -0,0001	 2645,045
-0,90179443	 -0,0001	 2652,2523
-0,90026855	 -0,0001	 2659,4595
-0,89935303	 -0,0001	 2666,6667
-0,89935303	 -0,0001	 2673,8739
-0,89691162	 -0,0001	 2681,0811
-0,89813232	 -0,0001	 2688,2883
-0,90057373	 -0,0001	 2695,4955
-0,90087891	 -0,0001	 2702,7027
-0,90026855	 -0,0001	 2709,9099
-0,89599609	 -0,0001	 2717,1171
-0,89416504	 -0,0001	 2724,3243
-0,89385986	 -0,0001	 2731,5315
-0,89019775	 -0,0001	 2738,7387
-0,89599609	 -0,0001	 2745,9459
-0,89202881	 -0,0001	 2753,1532
-0,89294434	 -0,0001	 2760,3604
-0,89050293	 -0,0001	 2767,5676
-0,89050293	 -0,0001	 2774,7748
-0,89904785	 -0,0001	 2781,982
-0,89447021	 -0,0001	 2789,1892
-0,8883667	 -0,0001	 2796,3964
-0,88928223	 -0,0001	 2803,6036
