Potential (V)	 Current (A)	 Elapsed Time (s)
-0,02746582	 0	 -10,810811
-0,027770996	 -0,0001	 0
-0,38879395	 -0,0001	 10,810811
-0,42907715	 -0,0001	 21,621622
-0,47027588	 -0,0001	 32,432433
-0,51361084	 -0,0001	 43,243243
-0,55938721	 -0,0001	 54,054055
-0,60882568	 -0,0001	 64,864865
-0,66131592	 -0,0001	 75,675676
-0,71533203	 -0,0001	 86,486486
-0,76019287	 -0,0001	 97,297298
-0,78887939	 -0,0001	 108,10811
-0,80383301	 -0,0001	 118,91892
-0,81176758	 -0,0001	 129,72973
-0,8190918	 -0,0001	 140,54054
-0,82214355	 -0,0001	 151,35135
-0,82458496	 -0,0001	 162,16216
-0,82733154	 -0,0001	 172,97297
-0,82885742	 -0,0001	 183,78378
-0,83007813	 -0,0001	 194,59459
-0,83190918	 -0,0001	 205,40541
-0,83435059	 -0,0001	 216,21622
-0,83587646	 -0,0001	 227,02703
-0,8380127	 -0,0001	 237,83784
-0,83892822	 -0,0001	 248,64865
-0,8404541	 -0,0001	 259,45946
-0,84136963	 -0,0001	 270,27027
-0,84320068	 -0,0001	 281,08108
-0,84320068	 -0,0001	 291,89189
-0,84472656	 -0,0001	 302,7027
-0,84564209	 -0,0001	 313,51351
-0,84777832	 -0,0001	 324,32432
-0,84899902	 -0,0001	 335,13514
-0,84960938	 -0,0001	 345,94595
-0,8505249	 -0,0001	 356,75676
-0,85235596	 -0,0001	 367,56757
-0,85418701	 -0,0001	 378,37838
-0,85540771	 -0,0001	 389,18919
-0,85540771	 -0,0001	 400
-0,85693359	 -0,0001	 410,81081
-0,8581543	 -0,0001	 421,62162
-0,85876465	 -0,0001	 432,43243
-0,86029053	 -0,0001	 443,24324
-0,85998535	 -0,0001	 454,05405
-0,86151123	 -0,0001	 464,86487
-0,86334229	 -0,0001	 475,67568
-0,86425781	 -0,0001	 486,48649
-0,86517334	 -0,0001	 497,2973
-0,86700439	 -0,0001	 508,10811
-0,86883545	 -0,0001	 518,91892
-0,86914063	 -0,0001	 529,72973
-0,8694458	 -0,0001	 540,54054
-0,87158203	 -0,0001	 551,35135
-0,87188721	 -0,0001	 562,16216
-0,87310791	 -0,0001	 572,97297
-0,87554932	 -0,0001	 583,78378
-0,8770752	 -0,0001	 594,59459
-0,87799072	 -0,0001	 605,40541
-1,1959839	 -0,0001	 616,21622
-1,2960815	 -0,0001	 627,02703
-1,3024902	 -0,0001	 637,83784
