Potential (V)	 Current (A)	 Elapsed Time (s)
0,071105957	 0	 -10,810811
0,070495605	 -0,0001	 0
-0,23132324	 -0,0001	 10,810811
-0,26855469	 -0,0001	 21,621622
-0,29571533	 -0,0001	 32,432433
-0,32348633	 -0,0001	 43,243243
-0,34973145	 -0,0001	 54,054055
-0,37567139	 -0,0001	 64,864865
-0,54534912	 -0,0001	 75,675676
-0,85021973	 -0,0001	 86,486486
-0,87615967	 -0,0001	 97,297298
-0,87677002	 -0,0001	 108,10811
-0,88134766	 -0,0001	 118,91892
-0,86883545	 -0,0001	 129,72973
-0,86608887	 -0,0001	 140,54054
-0,85601807	 -0,0001	 151,35135
-0,84686279	 -0,0001	 162,16216
-0,84442139	 -0,0001	 172,97297
-0,83343506	 -0,0001	 183,78378
-0,82305908	 -0,0001	 194,59459
-0,82336426	 -0,0001	 205,40541
-0,82305908	 -0,0001	 216,21622
-0,81481934	 -0,0001	 227,02703
-0,82092285	 -0,0001	 237,83784
-0,81573486	 -0,0001	 248,64865
-0,8102417	 -0,0001	 259,45946
-0,81207275	 -0,0001	 270,27027
-0,80841064	 -0,0001	 281,08108
-0,81176758	 -0,0001	 291,89189
-0,81359863	 -0,0001	 302,7027
-0,80810547	 -0,0001	 313,51351
-0,81970215	 -0,0001	 324,32432
-0,81512451	 -0,0001	 335,13514
-0,81848145	 -0,0001	 345,94595
-0,81665039	 -0,0001	 356,75676
-0,81939697	 -0,0001	 367,56757
-0,81970215	 -0,0001	 378,37838
-0,82275391	 -0,0001	 389,18919
-0,82305908	 -0,0001	 400
-0,82611084	 -0,0001	 410,81081
-0,82702637	 -0,0001	 421,62162
-0,831604	 -0,0001	 432,43243
-0,83770752	 -0,0001	 443,24324
-0,83831787	 -0,0001	 454,05405
-0,84350586	 -0,0001	 464,86487
-0,84625244	 -0,0001	 475,67568
-0,84320068	 -0,0001	 486,48649
-0,8493042	 -0,0001	 497,2973
-0,84472656	 -0,0001	 508,10811
-0,85449219	 -0,0001	 518,91892
-0,86181641	 -0,0001	 529,72973
-0,8505249	 -0,0001	 540,54054
-0,83709717	 -0,0001	 551,35135
-0,83129883	 -0,0001	 562,16216
-0,82275391	 -0,0001	 572,97297
-0,81481934	 -0,0001	 583,78378
-0,80718994	 -0,0001	 594,59459
-0,80352783	 -0,0001	 605,40541
-0,79864502	 -0,0001	 616,21622
-0,79711914	 -0,0001	 627,02703
-0,79528809	 -0,0001	 637,83784
-0,78948975	 -0,0001	 648,64865
-0,78887939	 -0,0001	 659,45946
-0,78826904	 -0,0001	 670,27027
-0,78308105	 -0,0001	 681,08108
-0,77911377	 -0,0001	 691,89189
-0,77545166	 -0,0001	 702,7027
-0,78125	 -0,0001	 713,51351
-0,77972412	 -0,0001	 724,32432
-0,77911377	 -0,0001	 735,13514
-0,7824707	 -0,0001	 745,94595
-0,78369141	 -0,0001	 756,75676
-0,78369141	 -0,0001	 767,56757
-0,78582764	 -0,0001	 778,37838
-0,78704834	 -0,0001	 789,18919
-0,78765869	 -0,0001	 800
-0,78918457	 -0,0001	 810,81081
-0,78979492	 -0,0001	 821,62162
-0,79437256	 -0,0001	 832,43243
-0,79559326	 -0,0001	 843,24324
-0,79711914	 -0,0001	 854,05405
-0,79498291	 -0,0001	 864,86486
-0,80047607	 -0,0001	 875,67568
-0,80535889	 -0,0001	 886,48649
-0,80780029	 -0,0001	 897,2973
-0,81085205	 -0,0001	 908,10811
-0,8114624	 -0,0001	 918,91892
-0,81939697	 -0,0001	 929,72973
-0,82183838	 -0,0001	 940,54054
-0,82122803	 -0,0001	 951,35135
-0,82672119	 -0,0001	 962,16216
-0,82397461	 -0,0001	 972,97297
-0,81237793	 -0,0001	 983,78378
-0,80352783	 -0,0001	 994,59459
-0,79437256	 -0,0001	 1005,4054
-0,78613281	 -0,0001	 1016,2162
-0,77911377	 -0,0001	 1027,027
-0,7723999	 -0,0001	 1037,8378
-0,76660156	 -0,0001	 1048,6486
-0,76538086	 -0,0001	 1059,4595
-0,76446533	 -0,0001	 1070,2703
-0,76171875	 -0,0001	 1081,0811
-0,76171875	 -0,0001	 1091,8919
-0,75927734	 -0,0001	 1102,7027
-0,75958252	 -0,0001	 1113,5135
-0,75897217	 -0,0001	 1124,3243
-0,75958252	 -0,0001	 1135,1351
-0,75927734	 -0,0001	 1145,9459
-0,75897217	 -0,0001	 1156,7568
-0,75897217	 -0,0001	 1167,5676
-0,75958252	 -0,0001	 1178,3784
-0,76019287	 -0,0001	 1189,1892
-0,7598877	 -0,0001	 1200
-0,75866699	 -0,0001	 1210,8108
-0,76293945	 -0,0001	 1221,6216
-0,76385498	 -0,0001	 1232,4324
-0,76416016	 -0,0001	 1243,2432
-0,76446533	 -0,0001	 1254,0541
-0,76751709	 -0,0001	 1264,8649
-0,76873779	 -0,0001	 1275,6757
-0,77087402	 -0,0001	 1286,4865
-0,77270508	 -0,0001	 1297,2973
-0,77178955	 -0,0001	 1308,1081
-0,77697754	 -0,0001	 1318,9189
-0,77880859	 -0,0001	 1329,7297
-0,78125	 -0,0001	 1340,5405
-0,78155518	 -0,0001	 1351,3514
-0,78521729	 -0,0001	 1362,1622
-0,78674316	 -0,0001	 1372,973
-0,78979492	 -0,0001	 1383,7838
-0,79315186	 -0,0001	 1394,5946
-0,79650879	 -0,0001	 1405,4054
-0,79925537	 -0,0001	 1416,2162
-0,80078125	 -0,0001	 1427,027
-0,8026123	 -0,0001	 1437,8378
-0,80627441	 -0,0001	 1448,6486
-0,80291748	 -0,0001	 1459,4595
-0,79620361	 -0,0001	 1470,2703
-0,78857422	 -0,0001	 1481,0811
-0,78216553	 -0,0001	 1491,8919
-0,77514648	 -0,0001	 1502,7027
-0,77026367	 -0,0001	 1513,5135
-0,76751709	 -0,0001	 1524,3243
-0,76446533	 -0,0001	 1535,1351
-0,76049805	 -0,0001	 1545,9459
-0,7598877	 -0,0001	 1556,7568
-0,75805664	 -0,0001	 1567,5676
-0,75683594	 -0,0001	 1578,3784
-0,75408936	 -0,0001	 1589,1892
-0,75531006	 -0,0001	 1600
-0,75469971	 -0,0001	 1610,8108
-0,753479	 -0,0001	 1621,6216
-0,75439453	 -0,0001	 1632,4324
-0,75469971	 -0,0001	 1643,2432
-0,75469971	 -0,0001	 1654,0541
-0,75469971	 -0,0001	 1664,8649
-0,75561523	 -0,0001	 1675,6757
-0,75500488	 -0,0001	 1686,4865
-0,75622559	 -0,0001	 1697,2973
-0,75714111	 -0,0001	 1708,1081
-0,75897217	 -0,0001	 1718,9189
-0,7598877	 -0,0001	 1729,7297
-0,76049805	 -0,0001	 1740,5405
-0,7611084	 -0,0001	 1751,3514
-0,76416016	 -0,0001	 1762,1622
-0,76477051	 -0,0001	 1772,973
-0,76660156	 -0,0001	 1783,7838
-0,76843262	 -0,0001	 1794,5946
-0,77026367	 -0,0001	 1805,4054
-0,7711792	 -0,0001	 1816,2162
-0,77453613	 -0,0001	 1827,027
-0,77514648	 -0,0001	 1837,8378
-0,77850342	 -0,0001	 1848,6486
-0,77972412	 -0,0001	 1859,4595
-0,78277588	 -0,0001	 1870,2703
-0,78460693	 -0,0001	 1881,0811
-0,78552246	 -0,0001	 1891,8919
-0,78857422	 -0,0001	 1902,7027
-0,79040527	 -0,0001	 1913,5135
-0,79284668	 -0,0001	 1924,3243
-0,79071045	 -0,0001	 1935,1351
-0,78033447	 -0,0001	 1945,9459
-0,77423096	 -0,0001	 1956,7568
-0,76690674	 -0,0001	 1967,5676
-0,76293945	 -0,0001	 1978,3784
-0,7611084	 -0,0001	 1989,1892
-0,75805664	 -0,0001	 2000
-0,75653076	 -0,0001	 2010,8108
-0,75256348	 -0,0001	 2021,6216
-0,75195313	 -0,0001	 2032,4324
-0,74981689	 -0,0001	 2043,2432
-0,74920654	 -0,0001	 2054,0541
-0,74920654	 -0,0001	 2064,8649
-0,74798584	 -0,0001	 2075,6757
-0,74707031	 -0,0001	 2086,4865
-0,74768066	 -0,0001	 2097,2973
-0,74737549	 -0,0001	 2108,1081
-0,74707031	 -0,0001	 2118,9189
-0,74707031	 -0,0001	 2129,7297
-0,74768066	 -0,0001	 2140,5405
-0,74859619	 -0,0001	 2151,3514
-0,74920654	 -0,0001	 2162,1622
-0,74981689	 -0,0001	 2172,973
-0,7510376	 -0,0001	 2183,7838
-0,75164795	 -0,0001	 2194,5946
-0,75286865	 -0,0001	 2205,4054
-0,75256348	 -0,0001	 2216,2162
-0,75408936	 -0,0001	 2227,027
-0,75622559	 -0,0001	 2237,8378
-0,75683594	 -0,0001	 2248,6486
-0,75775146	 -0,0001	 2259,4595
-0,75897217	 -0,0001	 2270,2703
-0,7611084	 -0,0001	 2281,0811
-0,76263428	 -0,0001	 2291,8919
-0,76507568	 -0,0001	 2302,7027
-0,76690674	 -0,0001	 2313,5135
-0,76843262	 -0,0001	 2324,3243
-0,77087402	 -0,0001	 2335,1351
-0,77484131	 -0,0001	 2345,9459
-0,77758789	 -0,0001	 2356,7568
-0,78033447	 -0,0001	 2367,5676
-0,7824707	 -0,0001	 2378,3784
-0,78491211	 -0,0001	 2389,1892
-0,78643799	 -0,0001	 2400
-0,78155518	 -0,0001	 2410,8108
-0,77484131	 -0,0001	 2421,6216
-0,76812744	 -0,0001	 2432,4324
-0,76416016	 -0,0001	 2443,2432
-0,7598877	 -0,0001	 2454,0541
-0,75775146	 -0,0001	 2464,8649
-0,75378418	 -0,0001	 2475,6757
-0,7522583	 -0,0001	 2486,4865
-0,7510376	 -0,0001	 2497,2973
-0,74920654	 -0,0001	 2508,1081
-0,74768066	 -0,0001	 2518,9189
-0,74615479	 -0,0001	 2529,7297
-0,74554443	 -0,0001	 2540,5405
-0,74523926	 -0,0001	 2551,3514
-0,74432373	 -0,0001	 2562,1622
-0,7434082	 -0,0001	 2572,973
-0,74401855	 -0,0001	 2583,7838
-0,74310303	 -0,0001	 2594,5946
-0,74401855	 -0,0001	 2605,4054
-0,74432373	 -0,0001	 2616,2162
-0,74493408	 -0,0001	 2627,027
-0,74523926	 -0,0001	 2637,8378
-0,74554443	 -0,0001	 2648,6486
-0,74676514	 -0,0001	 2659,4595
-0,74737549	 -0,0001	 2670,2703
-0,74798584	 -0,0001	 2681,0811
-0,74951172	 -0,0001	 2691,8919
-0,75012207	 -0,0001	 2702,7027
-0,75042725	 -0,0001	 2713,5135
-0,753479	 -0,0001	 2724,3243
-0,75439453	 -0,0001	 2735,1351
-0,75592041	 -0,0001	 2745,9459
-0,75714111	 -0,0001	 2756,7568
-0,75866699	 -0,0001	 2767,5676
-0,7598877	 -0,0001	 2778,3784
-0,76141357	 -0,0001	 2789,1892
-0,7635498	 -0,0001	 2800
-0,76629639	 -0,0001	 2810,8108
-0,76782227	 -0,0001	 2821,6216
-0,7699585	 -0,0001	 2832,4324
-0,77178955	 -0,0001	 2843,2432
-0,77453613	 -0,0001	 2854,0541
-0,77575684	 -0,0001	 2864,8649
-0,77514648	 -0,0001	 2875,6757
-0,77758789	 -0,0001	 2886,4865
-0,77941895	 -0,0001	 2897,2973
-0,78063965	 -0,0001	 2908,1081
-0,77484131	 -0,0001	 2918,9189
-0,76934814	 -0,0001	 2929,7297
-0,76385498	 -0,0001	 2940,5405
-0,76019287	 -0,0001	 2951,3514
-0,75622559	 -0,0001	 2962,1622
-0,75378418	 -0,0001	 2972,973
-0,7522583	 -0,0001	 2983,7838
-0,75012207	 -0,0001	 2994,5946
-0,74707031	 -0,0001	 3005,4054
-0,74707031	 -0,0001	 3016,2162
-0,74462891	 -0,0001	 3027,027
-0,74401855	 -0,0001	 3037,8378
-0,74493408	 -0,0001	 3048,6486
-0,74310303	 -0,0001	 3059,4595
-0,74188232	 -0,0001	 3070,2703
-0,74249268	 -0,0001	 3081,0811
-0,7421875	 -0,0001	 3091,8919
-0,7421875	 -0,0001	 3102,7027
-0,74188232	 -0,0001	 3113,5135
-0,74310303	 -0,0001	 3124,3243
-0,74310303	 -0,0001	 3135,1351
-0,74432373	 -0,0001	 3145,9459
-0,74462891	 -0,0001	 3156,7568
-0,74493408	 -0,0001	 3167,5676
-0,74707031	 -0,0001	 3178,3784
-0,74737549	 -0,0001	 3189,1892
-0,74829102	 -0,0001	 3200
-0,74920654	 -0,0001	 3210,8108
-0,7510376	 -0,0001	 3221,6216
-0,75164795	 -0,0001	 3232,4324
-0,75256348	 -0,0001	 3243,2432
-0,75531006	 -0,0001	 3254,0541
-0,75592041	 -0,0001	 3264,8649
-0,75653076	 -0,0001	 3275,6757
-0,75836182	 -0,0001	 3286,4865
-0,75958252	 -0,0001	 3297,2973
-0,76202393	 -0,0001	 3308,1081
-0,76416016	 -0,0001	 3318,9189
-0,76477051	 -0,0001	 3329,7297
-0,76629639	 -0,0001	 3340,5405
-0,76934814	 -0,0001	 3351,3514
-0,77148438	 -0,0001	 3362,1622
-0,77270508	 -0,0001	 3372,973
-0,77484131	 -0,0001	 3383,7838
-0,77514648	 -0,0001	 3394,5946
-0,77301025	 -0,0001	 3405,4054
-0,76568604	 -0,0001	 3416,2162
-0,76141357	 -0,0001	 3427,027
-0,75775146	 -0,0001	 3437,8378
-0,75439453	 -0,0001	 3448,6486
-0,75317383	 -0,0001	 3459,4595
-0,74981689	 -0,0001	 3470,2703
-0,74768066	 -0,0001	 3481,0811
-0,74584961	 -0,0001	 3491,8919
-0,74493408	 -0,0001	 3502,7027
-0,74371338	 -0,0001	 3513,5135
-0,74157715	 -0,0001	 3524,3243
-0,7409668	 -0,0001	 3535,1351
-0,74005127	 -0,0001	 3545,9459
-0,73974609	 -0,0001	 3556,7568
-0,73913574	 -0,0001	 3567,5676
-0,73944092	 -0,0001	 3578,3784
-0,73944092	 -0,0001	 3589,1892
-0,73852539	 -0,0001	 3600
-0,74005127	 -0,0001	 3610,8108
-0,74035645	 -0,0001	 3621,6216
-0,7409668	 -0,0001	 3632,4324
-0,74127197	 -0,0001	 3643,2432
-0,74249268	 -0,0001	 3654,0541
-0,74279785	 -0,0001	 3664,8649
-0,7434082	 -0,0001	 3675,6757
-0,74432373	 -0,0001	 3686,4865
-0,74554443	 -0,0001	 3697,2973
-0,74615479	 -0,0001	 3708,1081
-0,74829102	 -0,0001	 3718,9189
-0,74951172	 -0,0001	 3729,7297
-0,74951172	 -0,0001	 3740,5405
-0,75164795	 -0,0001	 3751,3514
-0,75317383	 -0,0001	 3762,1622
-0,75439453	 -0,0001	 3772,973
-0,75531006	 -0,0001	 3783,7838
-0,75683594	 -0,0001	 3794,5946
-0,75958252	 -0,0001	 3805,4054
-0,76049805	 -0,0001	 3816,2162
-0,7623291	 -0,0001	 3827,027
-0,76416016	 -0,0001	 3837,8378
-0,76599121	 -0,0001	 3848,6486
-0,76782227	 -0,0001	 3859,4595
-0,76843262	 -0,0001	 3870,2703
-0,77087402	 -0,0001	 3881,0811
-0,76751709	 -0,0001	 3891,8919
-0,76202393	 -0,0001	 3902,7027
-0,75683594	 -0,0001	 3913,5135
-0,75378418	 -0,0001	 3924,3243
-0,75073242	 -0,0001	 3935,1351
-0,74798584	 -0,0001	 3945,9459
-0,74584961	 -0,0001	 3956,7568
-0,7434082	 -0,0001	 3967,5676
-0,74157715	 -0,0001	 3978,3784
-0,74035645	 -0,0001	 3989,1892
-0,73913574	 -0,0001	 4000
-0,73791504	 -0,0001	 4010,8108
-0,73699951	 -0,0001	 4021,6216
-0,73608398	 -0,0001	 4032,4324
-0,73547363	 -0,0001	 4043,2432
-0,73455811	 -0,0001	 4054,0541
-0,73455811	 -0,0001	 4064,8649
-0,73516846	 -0,0001	 4075,6757
-0,73516846	 -0,0001	 4086,4865
-0,73516846	 -0,0001	 4097,2973
-0,73547363	 -0,0001	 4108,1081
-0,73577881	 -0,0001	 4118,9189
-0,73608398	 -0,0001	 4129,7297
-0,73638916	 -0,0001	 4140,5405
-0,73730469	 -0,0001	 4151,3514
-0,73791504	 -0,0001	 4162,1622
-0,73913574	 -0,0001	 4172,973
-0,73974609	 -0,0001	 4183,7838
-0,74066162	 -0,0001	 4194,5946
-0,74127197	 -0,0001	 4205,4054
-0,74310303	 -0,0001	 4216,2162
-0,74462891	 -0,0001	 4227,027
-0,74523926	 -0,0001	 4237,8378
-0,74615479	 -0,0001	 4248,6486
-0,74768066	 -0,0001	 4259,4595
-0,74890137	 -0,0001	 4270,2703
-0,75073242	 -0,0001	 4281,0811
-0,7522583	 -0,0001	 4291,8919
-0,753479	 -0,0001	 4302,7027
-0,75408936	 -0,0001	 4313,5135
-0,75561523	 -0,0001	 4324,3243
-0,75592041	 -0,0001	 4335,1351
-0,75775146	 -0,0001	 4345,9459
-0,76049805	 -0,0001	 4356,7568
-0,76202393	 -0,0001	 4367,5676
-0,7635498	 -0,0001	 4378,3784
-0,76446533	 -0,0001	 4389,1892
-0,76721191	 -0,0001	 4400
-0,76843262	 -0,0001	 4410,8108
-0,76660156	 -0,0001	 4421,6216
-0,76293945	 -0,0001	 4432,4324
-0,75836182	 -0,0001	 4443,2432
-0,753479	 -0,0001	 4454,0541
-0,75073242	 -0,0001	 4464,8649
-0,74707031	 -0,0001	 4475,6757
-0,74493408	 -0,0001	 4486,4865
-0,7434082	 -0,0001	 4497,2973
-0,74035645	 -0,0001	 4508,1081
-0,73944092	 -0,0001	 4518,9189
-0,73760986	 -0,0001	 4529,7297
-0,73638916	 -0,0001	 4540,5405
-0,73547363	 -0,0001	 4551,3514
-0,73547363	 -0,0001	 4562,1622
-0,73516846	 -0,0001	 4572,973
-0,73394775	 -0,0001	 4583,7838
-0,73425293	 -0,0001	 4594,5946
-0,73425293	 -0,0001	 4605,4054
-0,72723389	 -0,0001	 4616,2162
-0,72906494	 -0,0001	 4627,027
-0,73059082	 -0,0001	 4637,8378
-0,730896	 -0,0001	 4648,6486
-0,73059082	 -0,0001	 4659,4595
-0,7321167	 -0,0001	 4670,2703
-0,73425293	 -0,0001	 4681,0811
-0,73455811	 -0,0001	 4691,8919
-0,73638916	 -0,0001	 4702,7027
-0,73791504	 -0,0001	 4713,5135
-0,73730469	 -0,0001	 4724,3243
-0,73852539	 -0,0001	 4735,1351
-0,73822021	 -0,0001	 4745,9459
-0,73974609	 -0,0001	 4756,7568
-0,74249268	 -0,0001	 4767,5676
-0,74401855	 -0,0001	 4778,3784
-0,74523926	 -0,0001	 4789,1892
-0,74707031	 -0,0001	 4800
-0,74829102	 -0,0001	 4810,8108
-0,74951172	 -0,0001	 4821,6216
-0,75134277	 -0,0001	 4832,4324
-0,7522583	 -0,0001	 4843,2432
-0,75408936	 -0,0001	 4854,0541
-0,75500488	 -0,0001	 4864,8649
-0,75683594	 -0,0001	 4875,6757
-0,75927734	 -0,0001	 4886,4865
-0,76019287	 -0,0001	 4897,2973
-0,76141357	 -0,0001	 4908,1081
-0,76324463	 -0,0001	 4918,9189
-0,76049805	 -0,0001	 4929,7297
