Potential (V)	 Current (A)	 Elapsed Time (s)
-1,2915039	 0	 -10,810811
-1,3345337	 -0,0001	 0
-1,4016724	 -0,0001	 10,810811
-1,4141846	 -0,0001	 21,621622
-1,4196777	 -0,0001	 32,432433
-1,421814	 -0,0001	 43,243243
-1,4224243	 -0,0001	 54,054055
-1,4215088	 -0,0001	 64,864865
-1,4187622	 -0,0001	 75,675676
-1,416626	 -0,0001	 86,486486
-1,4138794	 -0,0001	 97,297298
-1,4099121	 -0,0001	 108,10811
-1,4065552	 -0,0001	 118,91892
-1,4031982	 -0,0001	 129,72973
-1,3995361	 -0,0001	 140,54054
-1,395874	 -0,0001	 151,35135
-1,3922119	 -0,0001	 162,16216
-1,3876343	 -0,0001	 172,97297
-1,3821411	 -0,0001	 183,78378
-1,3781738	 -0,0001	 194,59459
-1,3739014	 -0,0001	 205,40541
-1,368103	 -0,0001	 216,21622
-1,3647461	 -0,0001	 227,02703
-1,3598633	 -0,0001	 237,83784
-1,3549805	 -0,0001	 248,64865
-1,3510132	 -0,0001	 259,45946
-1,3464355	 -0,0001	 270,27027
-1,3427734	 -0,0001	 281,08108
-1,3388062	 -0,0001	 291,89189
-1,335144	 -0,0001	 302,7027
-1,3314819	 -0,0001	 313,51351
-1,3269043	 -0,0001	 324,32432
-1,3232422	 -0,0001	 335,13514
-1,3195801	 -0,0001	 345,94595
-1,3143921	 -0,0001	 356,75676
-1,3116455	 -0,0001	 367,56757
-1,3088989	 -0,0001	 378,37838
-1,3040161	 -0,0001	 389,18919
-1,2985229	 -0,0001	 400
-1,2948608	 -0,0001	 410,81081
-1,2896729	 -0,0001	 421,62162
-1,282959	 -0,0001	 432,43243
-1,2789917	 -0,0001	 443,24324
-1,2719727	 -0,0001	 454,05405
-1,2646484	 -0,0001	 464,86487
-1,2539673	 -0,0001	 475,67568
-1,2371826	 -0,0001	 486,48649
-1,1856079	 -0,0001	 497,2973
-1,3095093	 -0,0001	 508,10811
-1,3778687	 -0,0001	 518,91892
-1,4013672	 -0,0001	 529,72973
-1,4086914	 -0,0001	 540,54054
-1,4108276	 -0,0001	 551,35135
-1,411438	 -0,0001	 562,16216
-1,4126587	 -0,0001	 572,97297
-1,4117432	 -0,0001	 583,78378
-1,411438	 -0,0001	 594,59459
-1,4108276	 -0,0001	 605,40541
-1,4102173	 -0,0001	 616,21622
-1,4096069	 -0,0001	 627,02703
-1,4080811	 -0,0001	 637,83784
-1,4059448	 -0,0001	 648,64865
-1,4041138	 -0,0001	 659,45946
-1,4031982	 -0,0001	 670,27027
-1,4031982	 -0,0001	 681,08108
-1,401062	 -0,0001	 691,89189
-1,3983154	 -0,0001	 702,7027
-1,3961792	 -0,0001	 713,51351
-1,394043	 -0,0001	 724,32432
-1,3925171	 -0,0001	 735,13514
-1,3909912	 -0,0001	 745,94595
-1,3891602	 -0,0001	 756,75676
-1,3882446	 -0,0001	 767,56757
-1,3867188	 -0,0001	 778,37838
-1,3848877	 -0,0001	 789,18919
