Potential (V)	 Current (A)	 Elapsed Time (s)
-0,015563965	 0	 -10,810811
-0,018310547	 -0,0001	 0
-0,45715332	 -0,0001	 10,810811
-0,54107666	 -0,0001	 21,621622
-0,61523438	 -0,0001	 32,432433
-0,63598633	 -0,0001	 43,243243
-0,65185547	 -0,0001	 54,054055
-0,66741943	 -0,0001	 64,864865
-0,6817627	 -0,0001	 75,675676
-0,69671631	 -0,0001	 86,486486
-0,71472168	 -0,0001	 97,297298
-0,73760986	 -0,0001	 108,10811
-0,7623291	 -0,0001	 118,91892
-0,78491211	 -0,0001	 129,72973
-0,80780029	 -0,0001	 140,54054
-0,82733154	 -0,0001	 151,35135
-0,84136963	 -0,0001	 162,16216
-0,8505249	 -0,0001	 172,97297
-0,85632324	 -0,0001	 183,78378
-0,86120605	 -0,0001	 194,59459
-0,86578369	 -0,0001	 205,40541
-0,8694458	 -0,0001	 216,21622
-0,87158203	 -0,0001	 227,02703
-0,87341309	 -0,0001	 237,83784
-0,87677002	 -0,0001	 248,64865
-0,87890625	 -0,0001	 259,45946
-0,88012695	 -0,0001	 270,27027
-0,88195801	 -0,0001	 281,08108
-0,88378906	 -0,0001	 291,89189
-0,88409424	 -0,0001	 302,7027
-0,88562012	 -0,0001	 313,51351
-0,88745117	 -0,0001	 324,32432
-0,88775635	 -0,0001	 335,13514
-0,89019775	 -0,0001	 345,94595
-0,89080811	 -0,0001	 356,75676
-0,89263916	 -0,0001	 367,56757
-0,89385986	 -0,0001	 378,37838
-0,89508057	 -0,0001	 389,18919
-0,89630127	 -0,0001	 400
-0,89691162	 -0,0001	 410,81081
-0,89782715	 -0,0001	 421,62162
-0,89904785	 -0,0001	 432,43243
-0,90026855	 -0,0001	 443,24324
-0,90057373	 -0,0001	 454,05405
-0,90148926	 -0,0001	 464,86487
-0,90301514	 -0,0001	 475,67568
-0,90393066	 -0,0001	 486,48649
-0,90423584	 -0,0001	 497,2973
-0,90515137	 -0,0001	 508,10811
-0,90515137	 -0,0001	 518,91892
-1,2811279	 -0,0001	 529,72973
-1,2585449	 -0,0001	 540,54054
-1,1801147	 -0,0001	 551,35135
-1,0925293	 -0,0001	 562,16216
-1,0888672	 -0,0001	 572,97297
-1,0861206	 -0,0001	 583,78378
-1,0852051	 -0,0001	 594,59459
-1,0852051	 -0,0001	 605,40541
-1,0842896	 -0,0001	 616,21622
-1,0830688	 -0,0001	 627,02703
-1,0824585	 -0,0001	 637,83784
-1,081543	 -0,0001	 648,64865
-1,081543	 -0,0001	 659,45946
-1,0806274	 -0,0001	 670,27027
-1,0803223	 -0,0001	 681,08108
-1,0800171	 -0,0001	 691,89189
-1,0794067	 -0,0001	 702,7027
-1,0791016	 -0,0001	 713,51351
-1,0787964	 -0,0001	 724,32432
-1,0787964	 -0,0001	 735,13514
-1,078186	 -0,0001	 745,94595
-1,0778809	 -0,0001	 756,75676
-1,0778809	 -0,0001	 767,56757
-1,0778809	 -0,0001	 778,37838
-1,0775757	 -0,0001	 789,18919
-1,0775757	 -0,0001	 800
-1,0775757	 -0,0001	 810,81081
-1,0775757	 -0,0001	 821,62162
-1,0778809	 -0,0001	 832,43243
-1,078186	 -0,0001	 843,24324
-1,0775757	 -0,0001	 854,05405
-1,0778809	 -0,0001	 864,86486
-1,0775757	 -0,0001	 875,67568
-1,0778809	 -0,0001	 886,48649
-1,0778809	 -0,0001	 897,2973
-1,0775757	 -0,0001	 908,10811
-1,0775757	 -0,0001	 918,91892
-1,078186	 -0,0001	 929,72973
-1,0772705	 -0,0001	 940,54054
-1,0787964	 -0,0001	 951,35135
-1,0778809	 -0,0001	 962,16216
-1,078186	 -0,0001	 972,97297
-1,078186	 -0,0001	 983,78378
-1,0784912	 -0,0001	 994,59459
-1,0787964	 -0,0001	 1005,4054
-1,078186	 -0,0001	 1016,2162
-1,0787964	 -0,0001	 1027,027
-1,0778809	 -0,0001	 1037,8378
-1,0787964	 -0,0001	 1048,6486
-1,0787964	 -0,0001	 1059,4595
-1,0791016	 -0,0001	 1070,2703
-1,0800171	 -0,0001	 1081,0811
-1,0791016	 -0,0001	 1091,8919
-1,0797119	 -0,0001	 1102,7027
-1,0794067	 -0,0001	 1113,5135
-1,0791016	 -0,0001	 1124,3243
-1,0800171	 -0,0001	 1135,1351
-1,0803223	 -0,0001	 1145,9459
-1,0800171	 -0,0001	 1156,7568
-1,0809326	 -0,0001	 1167,5676
-1,0821533	 -0,0001	 1178,3784
-1,0812378	 -0,0001	 1189,1892
-1,081543	 -0,0001	 1200
-1,081543	 -0,0001	 1210,8108
-1,0812378	 -0,0001	 1221,6216
-1,0821533	 -0,0001	 1232,4324
-1,0809326	 -0,0001	 1243,2432
-1,0824585	 -0,0001	 1254,0541
-1,0812378	 -0,0001	 1264,8649
-1,0818481	 -0,0001	 1275,6757
-1,0830688	 -0,0001	 1286,4865
-1,0830688	 -0,0001	 1297,2973
-1,0827637	 -0,0001	 1308,1081
-1,0821533	 -0,0001	 1318,9189
-1,0842896	 -0,0001	 1329,7297
-1,083374	 -0,0001	 1340,5405
-1,0842896	 -0,0001	 1351,3514
-1,0830688	 -0,0001	 1362,1622
-1,0852051	 -0,0001	 1372,973
-1,0852051	 -0,0001	 1383,7838
-1,0861206	 -0,0001	 1394,5946
-1,0842896	 -0,0001	 1405,4054
