Potential (V)	 Current (A)	 Elapsed Time (s)
-0,082092285	 0	 -10,810811
-0,083618164	 -0,0001	 0
-0,63446045	 -0,0001	 10,810811
-0,71502686	 -0,0001	 21,621622
-0,78857422	 -0,0001	 32,432433
-0,85418701	 -0,0001	 43,243243
-0,887146	 -0,0001	 54,054055
-0,89996338	 -0,0001	 64,864865
-0,90545654	 -0,0001	 75,675676
-0,90942383	 -0,0001	 86,486486
-0,91186523	 -0,0001	 97,297298
-0,91369629	 -0,0001	 108,10811
-0,91491699	 -0,0001	 118,91892
-0,91522217	 -0,0001	 129,72973
-0,9161377	 -0,0001	 140,54054
-0,9173584	 -0,0001	 151,35135
-0,91827393	 -0,0001	 162,16216
-0,9185791	 -0,0001	 172,97297
-0,91918945	 -0,0001	 183,78378
-0,92010498	 -0,0001	 194,59459
-0,92071533	 -0,0001	 205,40541
-0,92132568	 -0,0001	 216,21622
-0,92193604	 -0,0001	 227,02703
-0,92224121	 -0,0001	 237,83784
-0,92285156	 -0,0001	 248,64865
-0,92407227	 -0,0001	 259,45946
-0,92407227	 -0,0001	 270,27027
-0,92407227	 -0,0001	 281,08108
-0,92437744	 -0,0001	 291,89189
-0,92529297	 -0,0001	 302,7027
-0,9262085	 -0,0001	 313,51351
-0,92590332	 -0,0001	 324,32432
-0,92681885	 -0,0001	 335,13514
-0,92773438	 -0,0001	 345,94595
-0,9286499	 -0,0001	 356,75676
-0,92926025	 -0,0001	 367,56757
-0,92987061	 -0,0001	 378,37838
-0,92956543	 -0,0001	 389,18919
-0,93017578	 -0,0001	 400
-0,93017578	 -0,0001	 410,81081
-0,93078613	 -0,0001	 421,62162
-0,93139648	 -0,0001	 432,43243
-0,93048096	 -0,0001	 443,24324
-0,93109131	 -0,0001	 454,05405
-0,93200684	 -0,0001	 464,86487
-0,93292236	 -0,0001	 475,67568
-0,93353271	 -0,0001	 486,48649
-0,93353271	 -0,0001	 497,2973
-0,93444824	 -0,0001	 508,10811
-0,93414307	 -0,0001	 518,91892
-0,93414307	 -0,0001	 529,72973
-0,93505859	 -0,0001	 540,54054
-0,93505859	 -0,0001	 551,35135
-0,9286499	 -0,0001	 562,16216
-0,93292236	 -0,0001	 572,97297
-0,93292236	 -0,0001	 583,78378
-0,93414307	 -0,0001	 594,59459
-0,93444824	 -0,0001	 605,40541
-1,3134766	 -0,0001	 616,21622
-1,3796997	 -0,0001	 627,02703
-1,3656616	 -0,0001	 637,83784
-1,3424683	 -0,0001	 648,64865
-1,3134766	 -0,0001	 659,45946
-1,2689209	 -0,0001	 670,27027
-1,2054443	 -0,0001	 681,08108
-1,2185669	 -0,0001	 691,89189
-1,2414551	 -0,0001	 702,7027
-1,1816406	 -0,0001	 713,51351
-1,2155151	 -0,0001	 724,32432
-1,1633301	 -0,0001	 735,13514
-1,2005615	 -0,0001	 745,94595
-1,1175537	 -0,0001	 756,75676
-1,1181641	 -0,0001	 767,56757
-1,1657715	 -0,0001	 778,37838
-1,1755371	 -0,0001	 789,18919
-1,156311	 -0,0001	 800
-1,1065674	 -0,0001	 810,81081
-1,1157227	 -0,0001	 821,62162
-1,1590576	 -0,0001	 832,43243
-1,1700439	 -0,0001	 843,24324
-1,1413574	 -0,0001	 854,05405
-1,098938	 -0,0001	 864,86486
-1,1367798	 -0,0001	 875,67568
-1,1654663	 -0,0001	 886,48649
-1,1477661	 -0,0001	 897,2973
-1,0949707	 -0,0001	 908,10811
-1,1486816	 -0,0001	 918,91892
-1,1651611	 -0,0001	 929,72973
-1,1026001	 -0,0001	 940,54054
-1,1306763	 -0,0001	 951,35135
-1,1639404	 -0,0001	 962,16216
-1,1157227	 -0,0001	 972,97297
-1,1242676	 -0,0001	 983,78378
-1,1627197	 -0,0001	 994,59459
-1,1047363	 -0,0001	 1005,4054
-1,1328125	 -0,0001	 1016,2162
-1,1608887	 -0,0001	 1027,027
-1,0882568	 -0,0001	 1037,8378
-1,149292	 -0,0001	 1048,6486
-1,1453247	 -0,0001	 1059,4595
-1,1026001	 -0,0001	 1070,2703
-1,1584473	 -0,0001	 1081,0811
-1,0900879	 -0,0001	 1091,8919
-1,1486816	 -0,0001	 1102,7027
-1,1328125	 -0,0001	 1113,5135
-1,1260986	 -0,0001	 1124,3243
-1,1529541	 -0,0001	 1135,1351
-1,0873413	 -0,0001	 1145,9459
-1,1532593	 -0,0001	 1156,7568
-1,0919189	 -0,0001	 1167,5676
-1,1392212	 -0,0001	 1178,3784
-1,1373901	 -0,0001	 1189,1892
-1,1209106	 -0,0001	 1200
-1,1471558	 -0,0001	 1210,8108
-1,0955811	 -0,0001	 1221,6216
-1,1499023	 -0,0001	 1232,4324
-1,0830688	 -0,0001	 1243,2432
-1,1483765	 -0,0001	 1254,0541
-1,0824585	 -0,0001	 1264,8649
-1,1447144	 -0,0001	 1275,6757
-1,0855103	 -0,0001	 1286,4865
-1,1422729	 -0,0001	 1297,2973
-1,0986328	 -0,0001	 1308,1081
-1,1322021	 -0,0001	 1318,9189
-1,1230469	 -0,0001	 1329,7297
-1,1245728	 -0,0001	 1340,5405
-1,1300659	 -0,0001	 1351,3514
-1,1172485	 -0,0001	 1362,1622
-1,1361694	 -0,0001	 1372,973
-1,1099243	 -0,0001	 1383,7838
-1,1386108	 -0,0001	 1394,5946
-1,0940552	 -0,0001	 1405,4054
-1,1404419	 -0,0001	 1416,2162
-1,0903931	 -0,0001	 1427,027
-1,138916	 -0,0001	 1437,8378
-1,0848999	 -0,0001	 1448,6486
-1,1380005	 -0,0001	 1459,4595
-1,0848999	 -0,0001	 1470,2703
-1,1328125	 -0,0001	 1481,0811
-1,0876465	 -0,0001	 1491,8919
-1,1291504	 -0,0001	 1502,7027
-1,0955811	 -0,0001	 1513,5135
-1,126709	 -0,0001	 1524,3243
-1,1004639	 -0,0001	 1535,1351
-1,1251831	 -0,0001	 1545,9459
-1,1087036	 -0,0001	 1556,7568
-1,1206055	 -0,0001	 1567,5676
-1,121521	 -0,0001	 1578,3784
-1,116333	 -0,0001	 1589,1892
-1,1218262	 -0,0001	 1600
-1,1083984	 -0,0001	 1610,8108
-1,1242676	 -0,0001	 1621,6216
-1,0998535	 -0,0001	 1632,4324
-1,1245728	 -0,0001	 1643,2432
-1,0940552	 -0,0001	 1654,0541
-1,1251831	 -0,0001	 1664,8649
-1,0934448	 -0,0001	 1675,6757
-1,1248779	 -0,0001	 1686,4865
-1,0958862	 -0,0001	 1697,2973
-1,1190796	 -0,0001	 1708,1081
-1,100769	 -0,0001	 1718,9189
-1,1154175	 -0,0001	 1729,7297
-1,1062622	 -0,0001	 1740,5405
-1,1117554	 -0,0001	 1751,3514
-1,1083984	 -0,0001	 1762,1622
-1,1090088	 -0,0001	 1772,973
-1,1120605	 -0,0001	 1783,7838
-1,1080933	 -0,0001	 1794,5946
-1,1105347	 -0,0001	 1805,4054
-1,1102295	 -0,0001	 1816,2162
-1,111145	 -0,0001	 1827,027
-1,1108398	 -0,0001	 1837,8378
-1,1132813	 -0,0001	 1848,6486
-1,1083984	 -0,0001	 1859,4595
-1,1148071	 -0,0001	 1870,2703
-1,1068726	 -0,0001	 1881,0811
-1,114502	 -0,0001	 1891,8919
-1,1068726	 -0,0001	 1902,7027
-1,1141968	 -0,0001	 1913,5135
-1,1074829	 -0,0001	 1924,3243
-1,1132813	 -0,0001	 1935,1351
-1,1062622	 -0,0001	 1945,9459
-1,1160278	 -0,0001	 1956,7568
-1,1026001	 -0,0001	 1967,5676
-1,116333	 -0,0001	 1978,3784
-1,1077881	 -0,0001	 1989,1892
-1,1151123	 -0,0001	 2000
-1,1071777	 -0,0001	 2010,8108
-1,1129761	 -0,0001	 2021,6216
-1,1080933	 -0,0001	 2032,4324
-1,114502	 -0,0001	 2043,2432
-1,1090088	 -0,0001	 2054,0541
-1,1151123	 -0,0001	 2064,8649
-1,1080933	 -0,0001	 2075,6757
-1,1138916	 -0,0001	 2086,4865
-1,1087036	 -0,0001	 2097,2973
-1,1181641	 -0,0001	 2108,1081
-1,1083984	 -0,0001	 2118,9189
-1,116333	 -0,0001	 2129,7297
-1,1077881	 -0,0001	 2140,5405
-1,1184692	 -0,0001	 2151,3514
-1,1062622	 -0,0001	 2162,1622
-1,1221313	 -0,0001	 2172,973
-1,1065674	 -0,0001	 2183,7838
-1,1212158	 -0,0001	 2194,5946
-1,105957	 -0,0001	 2205,4054
-1,1224365	 -0,0001	 2216,2162
-1,1056519	 -0,0001	 2227,027
-1,1264038	 -0,0001	 2237,8378
-1,1044312	 -0,0001	 2248,6486
-1,1279297	 -0,0001	 2259,4595
-1,1035156	 -0,0001	 2270,2703
-1,1303711	 -0,0001	 2281,0811
-1,1019897	 -0,0001	 2291,8919
-1,1254883	 -0,0001	 2302,7027
-1,0992432	 -0,0001	 2313,5135
-1,1151123	 -0,0001	 2324,3243
-1,1102295	 -0,0001	 2335,1351
-1,0992432	 -0,0001	 2345,9459
-1,1035156	 -0,0001	 2356,7568
-1,1022949	 -0,0001	 2367,5676
-1,0998535	 -0,0001	 2378,3784
-1,0906982	 -0,0001	 2389,1892
-1,083374	 -0,0001	 2400
-1,0736084	 -0,0001	 2410,8108
-1,0696411	 -0,0001	 2421,6216
-1,0571289	 -0,0001	 2432,4324
-1,0467529	 -0,0001	 2443,2432
-1,0385132	 -0,0001	 2454,0541
-1,0345459	 -0,0001	 2464,8649
-1,0281372	 -0,0001	 2475,6757
-1,020813	 -0,0001	 2486,4865
-1,0140991	 -0,0001	 2497,2973
-1,0098267	 -0,0001	 2508,1081
-1,0064697	 -0,0001	 2518,9189
-1,003418	 -0,0001	 2529,7297
-0,9979248	 -0,0001	 2540,5405
-0,99365234	 -0,0001	 2551,3514
-0,98907471	 -0,0001	 2562,1622
-0,98724365	 -0,0001	 2572,973
-0,98419189	 -0,0001	 2583,7838
-0,98052979	 -0,0001	 2594,5946
-0,9777832	 -0,0001	 2605,4054
-0,97229004	 -0,0001	 2616,2162
-0,97015381	 -0,0001	 2627,027
-0,96557617	 -0,0001	 2637,8378
-0,96405029	 -0,0001	 2648,6486
-0,96466064	 -0,0001	 2659,4595
-0,96069336	 -0,0001	 2670,2703
-0,95611572	 -0,0001	 2681,0811
-0,95581055	 -0,0001	 2691,8919
-0,95336914	 -0,0001	 2702,7027
-0,95458984	 -0,0001	 2713,5135
-0,95306396	 -0,0001	 2724,3243
-0,95062256	 -0,0001	 2735,1351
-0,94818115	 -0,0001	 2745,9459
-0,94787598	 -0,0001	 2756,7568
-0,9463501	 -0,0001	 2767,5676
-0,94543457	 -0,0001	 2778,3784
-0,94451904	 -0,0001	 2789,1892
-0,94329834	 -0,0001	 2800
-0,94299316	 -0,0001	 2810,8108
-0,94299316	 -0,0001	 2821,6216
-0,94390869	 -0,0001	 2832,4324
-0,94512939	 -0,0001	 2843,2432
-0,94390869	 -0,0001	 2854,0541
-0,94146729	 -0,0001	 2864,8649
-0,94207764	 -0,0001	 2875,6757
-0,94238281	 -0,0001	 2886,4865
-0,94146729	 -0,0001	 2897,2973
-0,94146729	 -0,0001	 2908,1081
-0,94146729	 -0,0001	 2918,9189
-0,94207764	 -0,0001	 2929,7297
-0,94085693	 -0,0001	 2940,5405
-0,94116211	 -0,0001	 2951,3514
-0,94085693	 -0,0001	 2962,1622
-0,93933105	 -0,0001	 2972,973
-0,93933105	 -0,0001	 2983,7838
-0,94085693	 -0,0001	 2994,5946
-0,94177246	 -0,0001	 3005,4054
-0,94238281	 -0,0001	 3016,2162
-0,94238281	 -0,0001	 3027,027
-0,94146729	 -0,0001	 3037,8378
-0,94268799	 -0,0001	 3048,6486
-0,94055176	 -0,0001	 3059,4595
-0,94146729	 -0,0001	 3070,2703
-0,94360352	 -0,0001	 3081,0811
-0,94451904	 -0,0001	 3091,8919
-0,94482422	 -0,0001	 3102,7027
-0,94360352	 -0,0001	 3113,5135
-0,94207764	 -0,0001	 3124,3243
-0,94421387	 -0,0001	 3135,1351
-0,94604492	 -0,0001	 3145,9459
-0,94543457	 -0,0001	 3156,7568
-0,94482422	 -0,0001	 3167,5676
-0,94390869	 -0,0001	 3178,3784
-0,94421387	 -0,0001	 3189,1892
-0,94573975	 -0,0001	 3200
-0,94665527	 -0,0001	 3210,8108
-0,9487915	 -0,0001	 3221,6216
-0,94696045	 -0,0001	 3232,4324
-0,94696045	 -0,0001	 3243,2432
-0,94787598	 -0,0001	 3254,0541
-0,94940186	 -0,0001	 3264,8649
-0,94970703	 -0,0001	 3275,6757
-0,95092773	 -0,0001	 3286,4865
-0,95123291	 -0,0001	 3297,2973
-0,95214844	 -0,0001	 3308,1081
-0,95153809	 -0,0001	 3318,9189
-0,95214844	 -0,0001	 3329,7297
-0,95367432	 -0,0001	 3340,5405
-0,95733643	 -0,0001	 3351,3514
-0,95581055	 -0,0001	 3362,1622
-0,95672607	 -0,0001	 3372,973
-0,9588623	 -0,0001	 3383,7838
-0,95977783	 -0,0001	 3394,5946
-0,96099854	 -0,0001	 3405,4054
-0,96191406	 -0,0001	 3416,2162
-0,96405029	 -0,0001	 3427,027
-0,96374512	 -0,0001	 3437,8378
-0,96374512	 -0,0001	 3448,6486
-0,96405029	 -0,0001	 3459,4595
-0,9677124	 -0,0001	 3470,2703
-0,9664917	 -0,0001	 3481,0811
-0,96710205	 -0,0001	 3491,8919
-0,96984863	 -0,0001	 3502,7027
-0,96923828	 -0,0001	 3513,5135
-0,96923828	 -0,0001	 3524,3243
-0,9677124	 -0,0001	 3535,1351
-0,97045898	 -0,0001	 3545,9459
-0,97442627	 -0,0001	 3556,7568
-0,97381592	 -0,0001	 3567,5676
-0,97564697	 -0,0001	 3578,3784
-0,97503662	 -0,0001	 3589,1892
-0,97595215	 -0,0001	 3600
-0,9777832	 -0,0001	 3610,8108
-0,98144531	 -0,0001	 3621,6216
-0,98419189	 -0,0001	 3632,4324
-0,98449707	 -0,0001	 3643,2432
-0,9866333	 -0,0001	 3654,0541
-0,99151611	 -0,0001	 3664,8649
-0,99060059	 -0,0001	 3675,6757
-0,99273682	 -0,0001	 3686,4865
-0,99243164	 -0,0001	 3697,2973
-0,99334717	 -0,0001	 3708,1081
-0,99578857	 -0,0001	 3718,9189
-0,99884033	 -0,0001	 3729,7297
-1,0046387	 -0,0001	 3740,5405
-1,0025024	 -0,0001	 3751,3514
-0,9979248	 -0,0001	 3762,1622
-0,99853516	 -0,0001	 3772,973
-1,0049438	 -0,0001	 3783,7838
-1,0079956	 -0,0001	 3794,5946
-1,0140991	 -0,0001	 3805,4054
-1,0186768	 -0,0001	 3816,2162
-1,0211182	 -0,0001	 3827,027
-1,0211182	 -0,0001	 3837,8378
-1,0238647	 -0,0001	 3848,6486
-1,0290527	 -0,0001	 3859,4595
-1,031189	 -0,0001	 3870,2703
-1,0314941	 -0,0001	 3881,0811
-1,0342407	 -0,0001	 3891,8919
-1,0391235	 -0,0001	 3902,7027
-1,0412598	 -0,0001	 3913,5135
-1,0437012	 -0,0001	 3924,3243
-1,0482788	 -0,0001	 3935,1351
-1,0513306	 -0,0001	 3945,9459
-1,055603	 -0,0001	 3956,7568
-1,0577393	 -0,0001	 3967,5676
-1,0641479	 -0,0001	 3978,3784
-1,0601807	 -0,0001	 3989,1892
-1,0604858	 -0,0001	 4000
