Potential (V)	 Current (A)	 Elapsed Time (s)
-1,2805176	 -0,0001	 1481,0811
-1,2722778	 -0,0001	 1491,8919
-1,2631226	 -0,0001	 1502,7027
-1,2442017	 -0,0001	 1513,5135
-1,1495972	 -0,0001	 1524,3243
-1,2701416	 -0,0001	 1535,1351
-1,3418579	 -0,0001	 1545,9459
-1,368103	 -0,0001	 1556,7568
-1,3845825	 -0,0001	 1567,5676
-1,3919067	 -0,0001	 1578,3784
-1,3955688	 -0,0001	 1589,1892
-1,3970947	 -0,0001	 1600
-1,3980103	 -0,0001	 1610,8108
-1,3986206	 -0,0001	 1621,6216
-1,3980103	 -0,0001	 1632,4324
-1,3989258	 -0,0001	 1643,2432
-1,3989258	 -0,0001	 1654,0541
-1,3980103	 -0,0001	 1664,8649
-1,3970947	 -0,0001	 1675,6757
-1,3967896	 -0,0001	 1686,4865
-1,3955688	 -0,0001	 1697,2973
-1,3934326	 -0,0001	 1708,1081
-1,3922119	 -0,0001	 1718,9189
-1,3919067	 -0,0001	 1729,7297
-1,3912964	 -0,0001	 1740,5405
-1,3894653	 -0,0001	 1751,3514
-1,3879395	 -0,0001	 1762,1622
-1,3870239	 -0,0001	 1772,973
-1,3858032	 -0,0001	 1783,7838
-1,3845825	 -0,0001	 1794,5946
-1,3824463	 -0,0001	 1805,4054
-1,3809204	 -0,0001	 1816,2162
-1,3796997	 -0,0001	 1827,027
-1,3778687	 -0,0001	 1837,8378
-1,3766479	 -0,0001	 1848,6486
-1,3751221	 -0,0001	 1859,4595
-1,3739014	 -0,0001	 1870,2703
-1,3726807	 -0,0001	 1881,0811
-1,3723755	 -0,0001	 1891,8919
-1,3708496	 -0,0001	 1902,7027
-1,3696289	 -0,0001	 1913,5135
-1,3671875	 -0,0001	 1924,3243
-1,3647461	 -0,0001	 1935,1351
-1,3635254	 -0,0001	 1945,9459
-1,3626099	 -0,0001	 1956,7568
-1,3626099	 -0,0001	 1967,5676
-1,3601685	 -0,0001	 1978,3784
-1,3589478	 -0,0001	 1989,1892
-1,3568115	 -0,0001	 2000
-1,3546753	 -0,0001	 2010,8108
-1,3534546	 -0,0001	 2021,6216
-1,3510132	 -0,0001	 2032,4324
-1,348877	 -0,0001	 2043,2432
-1,3470459	 -0,0001	 2054,0541
-1,3458252	 -0,0001	 2064,8649
-1,3446045	 -0,0001	 2075,6757
-1,343689	 -0,0001	 2086,4865
-1,3415527	 -0,0001	 2097,2973
-1,3388062	 -0,0001	 2108,1081
-1,3369751	 -0,0001	 2118,9189
-1,3348389	 -0,0001	 2129,7297
-1,3323975	 -0,0001	 2140,5405
-1,3314819	 -0,0001	 2151,3514
-1,3293457	 -0,0001	 2162,1622
-1,3269043	 -0,0001	 2172,973
-1,3238525	 -0,0001	 2183,7838
-1,3217163	 -0,0001	 2194,5946
-1,3195801	 -0,0001	 2205,4054
-1,317749	 -0,0001	 2216,2162
-1,3156128	 -0,0001	 2227,027
-1,312561	 -0,0001	 2237,8378
-1,3079834	 -0,0001	 2248,6486
-1,3046265	 -0,0001	 2259,4595
-1,3006592	 -0,0001	 2270,2703
-1,2957764	 -0,0001	 2281,0811
-1,2908936	 -0,0001	 2291,8919
-1,2844849	 -0,0001	 2302,7027
-1,2783813	 -0,0001	 2313,5135
-1,2652588	 -0,0001	 2324,3243
-1,2515259	 -0,0001	 2335,1351
-1,2280273	 -0,0001	 2345,9459
-1,0546875	 -0,0001	 2356,7568
-1,2371826	 -0,0001	 2367,5676
-1,3076782	 -0,0001	 2378,3784
-1,3320923	 -0,0001	 2389,1892
-1,3458252	 -0,0001	 2400
-1,3549805	 -0,0001	 2410,8108
-1,361084	 -0,0001	 2421,6216
-1,3638306	 -0,0001	 2432,4324
-1,3647461	 -0,0001	 2443,2432
-1,3665771	 -0,0001	 2454,0541
-1,368103	 -0,0001	 2464,8649
-1,3674927	 -0,0001	 2475,6757
-1,3665771	 -0,0001	 2486,4865
-1,3656616	 -0,0001	 2497,2973
-1,3644409	 -0,0001	 2508,1081
-1,362915	 -0,0001	 2518,9189
-1,361084	 -0,0001	 2529,7297
-1,3601685	 -0,0001	 2540,5405
-1,3589478	 -0,0001	 2551,3514
-1,3580322	 -0,0001	 2562,1622
-1,3565063	 -0,0001	 2572,973
-1,3546753	 -0,0001	 2583,7838
-1,3531494	 -0,0001	 2594,5946
-1,3525391	 -0,0001	 2605,4054
-1,3516235	 -0,0001	 2616,2162
-1,3500977	 -0,0001	 2627,027
-1,3479614	 -0,0001	 2637,8378
-1,3461304	 -0,0001	 2648,6486
-1,3449097	 -0,0001	 2659,4595
-1,3430786	 -0,0001	 2670,2703
-1,3430786	 -0,0001	 2681,0811
-1,3406372	 -0,0001	 2691,8919
-1,338501	 -0,0001	 2702,7027
-1,3372803	 -0,0001	 2713,5135
-1,3354492	 -0,0001	 2724,3243
-1,333313	 -0,0001	 2735,1351
-1,3317871	 -0,0001	 2745,9459
-1,3311768	 -0,0001	 2756,7568
-1,3287354	 -0,0001	 2767,5676
-1,3262939	 -0,0001	 2778,3784
-1,3235474	 -0,0001	 2789,1892
-1,3198853	 -0,0001	 2800
-1,3165283	 -0,0001	 2810,8108
-1,3131714	 -0,0001	 2821,6216
-1,31073	 -0,0001	 2832,4324
-1,3067627	 -0,0001	 2843,2432
-1,3040161	 -0,0001	 2854,0541
-1,300354	 -0,0001	 2864,8649
-1,2982178	 -0,0001	 2875,6757
-1,2948608	 -0,0001	 2886,4865
-1,2887573	 -0,0001	 2897,2973
-1,2835693	 -0,0001	 2908,1081
-1,2756348	 -0,0001	 2918,9189
-1,2692261	 -0,0001	 2929,7297
-1,2588501	 -0,0001	 2940,5405
-1,2432861	 -0,0001	 2951,3514
-1,2112427	 -0,0001	 2962,1622
-1,0864258	 -0,0001	 2972,973
-1,2338257	 -0,0001	 2983,7838
-1,2908936	 -0,0001	 2994,5946
-1,3146973	 -0,0001	 3005,4054
-1,3287354	 -0,0001	 3016,2162
-1,3363647	 -0,0001	 3027,027
-1,340332	 -0,0001	 3037,8378
-1,3421631	 -0,0001	 3048,6486
-1,3433838	 -0,0001	 3059,4595
-1,3442993	 -0,0001	 3070,2703
-1,3442993	 -0,0001	 3081,0811
-1,3452148	 -0,0001	 3091,8919
-1,3449097	 -0,0001	 3102,7027
-1,3439941	 -0,0001	 3113,5135
-1,3418579	 -0,0001	 3124,3243
-1,3397217	 -0,0001	 3135,1351
-1,3375854	 -0,0001	 3145,9459
-1,3369751	 -0,0001	 3156,7568
-1,3354492	 -0,0001	 3167,5676
-1,3320923	 -0,0001	 3178,3784
-1,3305664	 -0,0001	 3189,1892
-1,3287354	 -0,0001	 3200
-1,3275146	 -0,0001	 3210,8108
-1,3241577	 -0,0001	 3221,6216
-1,3214111	 -0,0001	 3232,4324
-1,3201904	 -0,0001	 3243,2432
-1,3174438	 -0,0001	 3254,0541
-1,3128662	 -0,0001	 3264,8649
-1,31073	 -0,0001	 3275,6757
-1,3070679	 -0,0001	 3286,4865
-1,3034058	 -0,0001	 3297,2973
-1,3006592	 -0,0001	 3308,1081
-1,2969971	 -0,0001	 3318,9189
-1,2924194	 -0,0001	 3329,7297
-1,2884521	 -0,0001	 3340,5405
-1,2838745	 -0,0001	 3351,3514
-1,2734985	 -0,0001	 3362,1622
-1,2640381	 -0,0001	 3372,973
-1,2542725	 -0,0001	 3383,7838
-1,2356567	 -0,0001	 3394,5946
-1,1282349	 -0,0001	 3405,4054
-1,1190796	 -0,0001	 3416,2162
-1,2304688	 -0,0001	 3427,027
-1,2799072	 -0,0001	 3437,8378
-1,3021851	 -0,0001	 3448,6486
-1,3143921	 -0,0001	 3459,4595
-1,3220215	 -0,0001	 3470,2703
-1,3259888	 -0,0001	 3481,0811
-1,3278198	 -0,0001	 3491,8919
-1,3290405	 -0,0001	 3502,7027
-1,3275146	 -0,0001	 3513,5135
-1,3284302	 -0,0001	 3524,3243
-1,3269043	 -0,0001	 3535,1351
-1,3265991	 -0,0001	 3545,9459
-1,3235474	 -0,0001	 3556,7568
-1,3217163	 -0,0001	 3567,5676
-1,3198853	 -0,0001	 3578,3784
-1,3180542	 -0,0001	 3589,1892
-1,3156128	 -0,0001	 3600
-1,3131714	 -0,0001	 3610,8108
-1,3113403	 -0,0001	 3621,6216
-1,3076782	 -0,0001	 3632,4324
-1,3031006	 -0,0001	 3643,2432
-1,2991333	 -0,0001	 3654,0541
-1,2936401	 -0,0001	 3664,8649
-1,2908936	 -0,0001	 3675,6757
-1,2869263	 -0,0001	 3686,4865
-1,2802124	 -0,0001	 3697,2973
-1,2734985	 -0,0001	 3708,1081
-1,2625122	 -0,0001	 3718,9189
-1,2472534	 -0,0001	 3729,7297
-1,21521	 -0,0001	 3740,5405
-1,0583496	 -0,0001	 3751,3514
-1,1679077	 -0,0001	 3762,1622
-1,2472534	 -0,0001	 3772,973
-1,2789917	 -0,0001	 3783,7838
-1,2960815	 -0,0001	 3794,5946
-1,3061523	 -0,0001	 3805,4054
-1,3113403	 -0,0001	 3816,2162
-1,3137817	 -0,0001	 3827,027
-1,3137817	 -0,0001	 3837,8378
-1,3143921	 -0,0001	 3848,6486
-1,3131714	 -0,0001	 3859,4595
-1,312561	 -0,0001	 3870,2703
-1,3110352	 -0,0001	 3881,0811
-1,3085938	 -0,0001	 3891,8919
-1,3061523	 -0,0001	 3902,7027
-1,3040161	 -0,0001	 3913,5135
-1,300354	 -0,0001	 3924,3243
-1,2957764	 -0,0001	 3935,1351
-1,2918091	 -0,0001	 3945,9459
-1,2875366	 -0,0001	 3956,7568
-1,2823486	 -0,0001	 3967,5676
-1,2753296	 -0,0001	 3978,3784
-1,2670898	 -0,0001	 3989,1892
-1,2515259	 -0,0001	 4000
-1,2261963	 -0,0001	 4010,8108
-1,0525513	 -0,0001	 4021,6216
-1,1306763	 -0,0001	 4032,4324
-1,2188721	 -0,0001	 4043,2432
-1,2634277	 -0,0001	 4054,0541
-1,2838745	 -0,0001	 4064,8649
-1,293335	 -0,0001	 4075,6757
-1,2966919	 -0,0001	 4086,4865
-1,2991333	 -0,0001	 4097,2973
-1,2988281	 -0,0001	 4108,1081
-1,2979126	 -0,0001	 4118,9189
-1,2963867	 -0,0001	 4129,7297
-1,2930298	 -0,0001	 4140,5405
-1,2905884	 -0,0001	 4151,3514
-1,2866211	 -0,0001	 4162,1622
-1,2826538	 -0,0001	 4172,973
-1,2756348	 -0,0001	 4183,7838
-1,2680054	 -0,0001	 4194,5946
-1,257019	 -0,0001	 4205,4054
-1,239624	 -0,0001	 4216,2162
-1,2088013	 -0,0001	 4227,027
-1,0717773	 -0,0001	 4237,8378
-1,1535645	 -0,0001	 4248,6486
-1,2298584	 -0,0001	 4259,4595
-1,2619019	 -0,0001	 4270,2703
-1,2759399	 -0,0001	 4281,0811
-1,2823486	 -0,0001	 4291,8919
-1,2838745	 -0,0001	 4302,7027
-1,2860107	 -0,0001	 4313,5135
-1,2854004	 -0,0001	 4324,3243
-1,282959	 -0,0001	 4335,1351
-1,2774658	 -0,0001	 4345,9459
-1,2713623	 -0,0001	 4356,7568
-1,2661743	 -0,0001	 4367,5676
-1,2597656	 -0,0001	 4378,3784
-1,2493896	 -0,0001	 4389,1892
-1,2319946	 -0,0001	 4400
-1,1975098	 -0,0001	 4410,8108
-1,0861206	 -0,0001	 4421,6216
-1,1618042	 -0,0001	 4432,4324
-1,2335205	 -0,0001	 4443,2432
-1,2597656	 -0,0001	 4454,0541
-1,270752	 -0,0001	 4464,8649
-1,2756348	 -0,0001	 4475,6757
-1,2771606	 -0,0001	 4486,4865
-1,2774658	 -0,0001	 4497,2973
-1,2762451	 -0,0001	 4508,1081
-1,270752	 -0,0001	 4518,9189
-1,2649536	 -0,0001	 4529,7297
-1,2597656	 -0,0001	 4540,5405
-1,2512207	 -0,0001	 4551,3514
-1,2353516	 -0,0001	 4562,1622
-1,2057495	 -0,0001	 4572,973
-1,0775757	 -0,0001	 4583,7838
-1,1520386	 -0,0001	 4594,5946
-1,2237549	 -0,0001	 4605,4054
-1,2536621	 -0,0001	 4616,2162
-1,2652588	 -0,0001	 4627,027
-1,2689209	 -0,0001	 4637,8378
-1,2698364	 -0,0001	 4648,6486
-1,2680054	 -0,0001	 4659,4595
-1,2646484	 -0,0001	 4670,2703
-1,2588501	 -0,0001	 4681,0811
-1,2539673	 -0,0001	 4691,8919
-1,2432861	 -0,0001	 4702,7027
-1,2277222	 -0,0001	 4713,5135
-1,1962891	 -0,0001	 4724,3243
-1,0897827	 -0,0001	 4735,1351
-1,1599731	 -0,0001	 4745,9459
-1,2252808	 -0,0001	 4756,7568
-1,2530518	 -0,0001	 4767,5676
-1,2631226	 -0,0001	 4778,3784
-1,2664795	 -0,0001	 4789,1892
-1,2670898	 -0,0001	 4800
-1,2658691	 -0,0001	 4810,8108
-1,2631226	 -0,0001	 4821,6216
-1,257019	 -0,0001	 4832,4324
-1,2509155	 -0,0001	 4843,2432
-1,2432861	 -0,0001	 4854,0541
-1,2307739	 -0,0001	 4864,8649
-1,2051392	 -0,0001	 4875,6757
-1,0778809	 -0,0001	 4886,4865
-1,1465454	 -0,0001	 4897,2973
-1,2136841	 -0,0001	 4908,1081
-1,2484741	 -0,0001	 4918,9189
-1,2597656	 -0,0001	 4929,7297
-1,2631226	 -0,0001	 4940,5405
-1,2631226	 -0,0001	 4951,3514
-1,262207	 -0,0001	 4962,1622
-1,2594604	 -0,0001	 4972,973
-1,2536621	 -0,0001	 4983,7838
-1,2445068	 -0,0001	 4994,5946
-1,2335205	 -0,0001	 5005,4054
-1,2133789	 -0,0001	 5016,2162
-1,0830688	 -0,0001	 5027,027
-1,1279297	 -0,0001	 5037,8378
-1,1947632	 -0,0001	 5048,6486
-1,2408447	 -0,0001	 5059,4595
-1,2561035	 -0,0001	 5070,2703
-1,2619019	 -0,0001	 5081,0811
-1,262207	 -0,0001	 5091,8919
-1,2612915	 -0,0001	 5102,7027
-1,2579346	 -0,0001	 5113,5135
-1,2515259	 -0,0001	 5124,3243
-1,2445068	 -0,0001	 5135,1351
-1,2310791	 -0,0001	 5145,9459
-1,2121582	 -0,0001	 5156,7568
-1,0864258	 -0,0001	 5167,5676
-1,1270142	 -0,0001	 5178,3784
-1,1920166	 -0,0001	 5189,1892
-1,2371826	 -0,0001	 5200
-1,2527466	 -0,0001	 5210,8108
-1,2585449	 -0,0001	 5221,6216
-1,2612915	 -0,0001	 5232,4324
-1,2600708	 -0,0001	 5243,2432
-1,2579346	 -0,0001	 5254,0541
-1,2527466	 -0,0001	 5264,8649
-1,2487793	 -0,0001	 5275,6757
-1,2420654	 -0,0001	 5286,4865
-1,2301636	 -0,0001	 5297,2973
-1,2091064	 -0,0001	 5308,1081
-1,0675049	 -0,0001	 5318,9189
-1,1325073	 -0,0001	 5329,7297
-1,1941528	 -0,0001	 5340,5405
-1,2371826	 -0,0001	 5351,3514
-1,2539673	 -0,0001	 5362,1622
-1,2594604	 -0,0001	 5372,973
-1,2619019	 -0,0001	 5383,7838
-1,2591553	 -0,0001	 5394,5946
-1,2567139	 -0,0001	 5405,4054
-1,2518311	 -0,0001	 5416,2162
-1,2435913	 -0,0001	 5427,027
-1,2341309	 -0,0001	 5437,8378
-1,2231445	 -0,0001	 5448,6486
-1,194458	 -0,0001	 5459,4595
-1,0910034	 -0,0001	 5470,2703
-1,1550903	 -0,0001	 5481,0811
-1,2133789	 -0,0001	 5491,8919
-1,2435913	 -0,0001	 5502,7027
-1,255188	 -0,0001	 5513,5135
-1,2588501	 -0,0001	 5524,3243
-1,2594604	 -0,0001	 5535,1351
-1,2579346	 -0,0001	 5545,9459
-1,2536621	 -0,0001	 5556,7568
-1,2493896	 -0,0001	 5567,5676
-1,2445068	 -0,0001	 5578,3784
-1,2329102	 -0,0001	 5589,1892
-1,2179565	 -0,0001	 5600
