Potential (V)	 Current (A)	 Elapsed Time (s)
-1,1322021	 0	 -10,810811
-1,2741089	 -0,0001	 0
-1,3641357	 -0,0001	 10,810811
-1,3705444	 -0,0001	 21,621622
-1,3644409	 -0,0001	 32,432433
-1,3519287	 -0,0001	 43,243243
-1,3381958	 -0,0001	 54,054055
-1,3220215	 -0,0001	 64,864865
-1,3018799	 -0,0001	 75,675676
-1,277771	 -0,0001	 86,486486
-1,2475586	 -0,0001	 97,297298
-1,206665	 -0,0001	 108,10811
-1,2792969	 -0,0001	 118,91892
-1,3421631	 -0,0001	 129,72973
-1,3409424	 -0,0001	 140,54054
-1,3354492	 -0,0001	 151,35135
-1,3284302	 -0,0001	 162,16216
-1,3165283	 -0,0001	 172,97297
-1,3015747	 -0,0001	 183,78378
-1,28479	 -0,0001	 194,59459
-1,2649536	 -0,0001	 205,40541
-1,2405396	 -0,0001	 216,21622
-1,2103271	 -0,0001	 227,02703
-1,137085	 -0,0001	 237,83784
-1,3043213	 -0,0001	 248,64865
-1,2850952	 -0,0001	 259,45946
-1,2579346	 -0,0001	 270,27027
-1,2280273	 -0,0001	 281,08108
-1,1904907	 -0,0001	 291,89189
-1,2661743	 -0,0001	 302,7027
-1,2774658	 -0,0001	 313,51351
-1,2347412	 -0,0001	 324,32432
-1,166687	 -0,0001	 335,13514
-1,2744141	 -0,0001	 345,94595
-1,2573242	 -0,0001	 356,75676
-1,1993408	 -0,0001	 367,56757
-1,2322998	 -0,0001	 378,37838
-1,2634277	 -0,0001	 389,18919
-1,211853	 -0,0001	 400
-1,1810303	 -0,0001	 410,81081
-1,2646484	 -0,0001	 421,62162
-1,2191772	 -0,0001	 432,43243
-1,1392212	 -0,0001	 443,24324
-1,2612915	 -0,0001	 454,05405
-1,2286377	 -0,0001	 464,86487
-1,1392212	 -0,0001	 475,67568
-1,2612915	 -0,0001	 486,48649
-1,2478638	 -0,0001	 497,2973
-1,1898804	 -0,0001	 508,10811
-1,2280273	 -0,0001	 518,91892
-1,2588501	 -0,0001	 529,72973
-1,2133789	 -0,0001	 540,54054
-1,1257935	 -0,0001	 551,35135
-1,262207	 -0,0001	 562,16216
