Potential (V)	 Current (A)	 Elapsed Time (s)
-1,2216187	 0	 -10,810811
-1,2466431	 -0,0001	 0
-1,3037109	 -0,0001	 10,810811
-1,2918091	 -0,0001	 21,621622
-1,2722778	 -0,0001	 32,432433
-1,2438965	 -0,0001	 43,243243
-1,2078857	 -0,0001	 54,054055
-1,1065674	 -0,0001	 64,864865
-1,2612915	 -0,0001	 75,675676
-1,2734985	 -0,0001	 86,486486
-1,2634277	 -0,0001	 97,297298
-1,2484741	 -0,0001	 108,10811
-1,2219238	 -0,0001	 118,91892
-1,1798096	 -0,0001	 129,72973
-1,0934448	 -0,0001	 140,54054
-1,234436	 -0,0001	 151,35135
-1,2127686	 -0,0001	 162,16216
-1,171875	 -0,0001	 172,97297
-1,0720825	 -0,0001	 183,78378
-1,2164307	 -0,0001	 194,59459
-1,1819458	 -0,0001	 205,40541
-1,0687256	 -0,0001	 216,21622
-1,2069702	 -0,0001	 227,02703
-1,1557007	 -0,0001	 237,83784
-1,1682129	 -0,0001	 248,64865
-1,1856079	 -0,0001	 259,45946
-1,0702515	 -0,0001	 270,27027
-1,1984253	 -0,0001	 281,08108
-1,1489868	 -0,0001	 291,89189
-1,1682129	 -0,0001	 302,7027
-1,1749268	 -0,0001	 313,51351
-1,0754395	 -0,0001	 324,32432
-1,1911011	 -0,0001	 335,13514
-1,1373901	 -0,0001	 345,94595
-1,1752319	 -0,0001	 356,75676
-1,1773682	 -0,0001	 367,56757
-1,0635376	 -0,0001	 378,37838
-1,1907959	 -0,0001	 389,18919
-1,1526489	 -0,0001	 400
-1,1334229	 -0,0001	 410,81081
-1,1868286	 -0,0001	 421,62162
-1,1309814	 -0,0001	 432,43243
-1,1645508	 -0,0001	 443,24324
-1,1798096	 -0,0001	 454,05405
-1,0949707	 -0,0001	 464,86487
-1,1785889	 -0,0001	 475,67568
-1,1743164	 -0,0001	 486,48649
-1,0842896	 -0,0001	 497,2973
-1,1791992	 -0,0001	 508,10811
-1,1669922	 -0,0001	 518,91892
-1,0702515	 -0,0001	 529,72973
-1,1798096	 -0,0001	 540,54054
-1,1700439	 -0,0001	 551,35135
-1,1050415	 -0,0001	 562,16216
-1,1636353	 -0,0001	 572,97297
-1,1749268	 -0,0001	 583,78378
-1,1322021	 -0,0001	 594,59459
-1,1166382	 -0,0001	 605,40541
-1,1862183	 -0,0001	 616,21622
-1,161499	 -0,0001	 627,02703
-1,0614014	 -0,0001	 637,83784
-1,1752319	 -0,0001	 648,64865
-1,171875	 -0,0001	 659,45946
-1,1419678	 -0,0001	 670,27027
-1,0650635	 -0,0001	 681,08108
-1,1813354	 -0,0001	 691,89189
-1,1679077	 -0,0001	 702,7027
-1,1282349	 -0,0001	 713,51351
-1,0992432	 -0,0001	 724,32432
-1,1804199	 -0,0001	 735,13514
-1,1636353	 -0,0001	 745,94595
-1,1242676	 -0,0001	 756,75676
-1,0992432	 -0,0001	 767,56757
-1,1764526	 -0,0001	 778,37838
-1,1685181	 -0,0001	 789,18919
-1,1358643	 -0,0001	 800
-1,0562134	 -0,0001	 810,81081
-1,1703491	 -0,0001	 821,62162
-1,1734009	 -0,0001	 832,43243
-1,1431885	 -0,0001	 843,24324
-1,0995483	 -0,0001	 854,05405
-1,1386108	 -0,0001	 864,86486
-1,1730957	 -0,0001	 875,67568
-1,1465454	 -0,0001	 886,48649
-1,0955811	 -0,0001	 897,2973
-1,1361694	 -0,0001	 908,10811
-1,166687	 -0,0001	 918,91892
-1,1499023	 -0,0001	 929,72973
-1,1047363	 -0,0001	 940,54054
-1,1126709	 -0,0001	 951,35135
-1,1660767	 -0,0001	 962,16216
-1,1587524	 -0,0001	 972,97297
-1,1169434	 -0,0001	 983,78378
-1,0836792	 -0,0001	 994,59459
-1,1557007	 -0,0001	 1005,4054
-1,1541748	 -0,0001	 1016,2162
-1,12854	 -0,0001	 1027,027
-1,0821533	 -0,0001	 1037,8378
-1,1343384	 -0,0001	 1048,6486
-1,1517334	 -0,0001	 1059,4595
-1,1303711	 -0,0001	 1070,2703
-1,0702515	 -0,0001	 1081,0811
-1,1395264	 -0,0001	 1091,8919
-1,151123	 -0,0001	 1102,7027
-1,121521	 -0,0001	 1113,5135
-1,0848999	 -0,0001	 1124,3243
-1,1190796	 -0,0001	 1135,1351
-1,1413574	 -0,0001	 1145,9459
-1,1245728	 -0,0001	 1156,7568
-1,0848999	 -0,0001	 1167,5676
-1,116333	 -0,0001	 1178,3784
-1,1364746	 -0,0001	 1189,1892
-1,116333	 -0,0001	 1200
-1,0882568	 -0,0001	 1210,8108
-1,1001587	 -0,0001	 1221,6216
-1,1242676	 -0,0001	 1232,4324
-1,1120605	 -0,0001	 1243,2432
-1,0964966	 -0,0001	 1254,0541
