Potential (V)	 Current (A)	 Elapsed Time (s)
-0,047912598	 0	 -10,810811
-0,047607422	 -0,0001	 0
-0,70129395	 -0,0001	 10,810811
-0,76385498	 -0,0001	 21,621622
-0,76782227	 -0,0001	 32,432433
-0,76721191	 -0,0001	 43,243243
-0,76660156	 -0,0001	 54,054055
-0,76599121	 -0,0001	 64,864865
-0,76446533	 -0,0001	 75,675676
-0,76416016	 -0,0001	 86,486486
-0,76446533	 -0,0001	 97,297298
-0,76538086	 -0,0001	 108,10811
-0,76416016	 -0,0001	 118,91892
-0,7635498	 -0,0001	 129,72973
-0,76263428	 -0,0001	 140,54054
-0,76263428	 -0,0001	 151,35135
-0,76293945	 -0,0001	 162,16216
-0,7623291	 -0,0001	 172,97297
-0,76324463	 -0,0001	 183,78378
-0,76385498	 -0,0001	 194,59459
-0,76507568	 -0,0001	 205,40541
-0,76477051	 -0,0001	 216,21622
-0,76599121	 -0,0001	 227,02703
-0,76629639	 -0,0001	 237,83784
-0,76751709	 -0,0001	 248,64865
-0,76782227	 -0,0001	 259,45946
-0,76843262	 -0,0001	 270,27027
-0,76934814	 -0,0001	 281,08108
-0,77056885	 -0,0001	 291,89189
-0,77209473	 -0,0001	 302,7027
-0,77392578	 -0,0001	 313,51351
-0,77484131	 -0,0001	 324,32432
-0,77636719	 -0,0001	 335,13514
-0,77789307	 -0,0001	 345,94595
-0,77819824	 -0,0001	 356,75676
-0,77911377	 -0,0001	 367,56757
-0,78186035	 -0,0001	 378,37838
-0,7824707	 -0,0001	 389,18919
-0,78491211	 -0,0001	 400
-0,78704834	 -0,0001	 410,81081
-0,78735352	 -0,0001	 421,62162
-0,78857422	 -0,0001	 432,43243
-0,78979492	 -0,0001	 443,24324
-0,79193115	 -0,0001	 454,05405
-0,79345703	 -0,0001	 464,86487
-0,79498291	 -0,0001	 475,67568
-0,79650879	 -0,0001	 486,48649
-0,79772949	 -0,0001	 497,2973
-0,8001709	 -0,0001	 508,10811
-1,1346436	 -0,0001	 518,91892
-1,15448	 -0,0001	 529,72973
-1,1477661	 -0,0001	 540,54054
-1,1242676	 -0,0001	 551,35135
-1,0876465	 -0,0001	 562,16216
-1,1077881	 -0,0001	 572,97297
-1,0775757	 -0,0001	 583,78378
-1,0690308	 -0,0001	 594,59459
-1,0635376	 -0,0001	 605,40541
-1,0415649	 -0,0001	 616,21622
-1,0296631	 -0,0001	 627,02703
-1,0211182	 -0,0001	 637,83784
-1,0049438	 -0,0001	 648,64865
-0,99365234	 -0,0001	 659,45946
-0,9677124	 -0,0001	 670,27027
-0,95092773	 -0,0001	 681,08108
-0,93200684	 -0,0001	 691,89189
-0,91827393	 -0,0001	 702,7027
-0,90148926	 -0,0001	 713,51351
-0,88928223	 -0,0001	 724,32432
-0,87249756	 -0,0001	 735,13514
-0,86456299	 -0,0001	 745,94595
-0,85540771	 -0,0001	 756,75676
-0,84564209	 -0,0001	 767,56757
-0,84136963	 -0,0001	 778,37838
-0,83496094	 -0,0001	 789,18919
-0,83099365	 -0,0001	 800
-0,82977295	 -0,0001	 810,81081
-0,82672119	 -0,0001	 821,62162
-0,82427979	 -0,0001	 832,43243
-0,82244873	 -0,0001	 843,24324
-0,82275391	 -0,0001	 854,05405
-0,82092285	 -0,0001	 864,86486
-0,81939697	 -0,0001	 875,67568
-0,81817627	 -0,0001	 886,48649
-0,8190918	 -0,0001	 897,2973
-0,81634521	 -0,0001	 908,10811
-0,81726074	 -0,0001	 918,91892
-0,81665039	 -0,0001	 929,72973
-0,81665039	 -0,0001	 940,54054
-0,81756592	 -0,0001	 951,35135
-0,81604004	 -0,0001	 962,16216
-0,81726074	 -0,0001	 972,97297
-0,81878662	 -0,0001	 983,78378
-0,81787109	 -0,0001	 994,59459
-0,81878662	 -0,0001	 1005,4054
-0,82000732	 -0,0001	 1016,2162
-0,82061768	 -0,0001	 1027,027
-0,82061768	 -0,0001	 1037,8378
-0,82122803	 -0,0001	 1048,6486
-0,82214355	 -0,0001	 1059,4595
-0,82427979	 -0,0001	 1070,2703
-0,82489014	 -0,0001	 1081,0811
-0,82519531	 -0,0001	 1091,8919
-0,82641602	 -0,0001	 1102,7027
-0,82763672	 -0,0001	 1113,5135
-0,83007813	 -0,0001	 1124,3243
-0,83221436	 -0,0001	 1135,1351
-0,83465576	 -0,0001	 1145,9459
-0,83496094	 -0,0001	 1156,7568
-0,83587646	 -0,0001	 1167,5676
-0,8392334	 -0,0001	 1178,3784
-0,83984375	 -0,0001	 1189,1892
-0,84106445	 -0,0001	 1200
-0,84289551	 -0,0001	 1210,8108
-0,84350586	 -0,0001	 1221,6216
-0,84716797	 -0,0001	 1232,4324
-0,84960938	 -0,0001	 1243,2432
-0,85021973	 -0,0001	 1254,0541
-0,85205078	 -0,0001	 1264,8649
-0,85418701	 -0,0001	 1275,6757
-0,85632324	 -0,0001	 1286,4865
-0,8581543	 -0,0001	 1297,2973
-0,86029053	 -0,0001	 1308,1081
-0,86242676	 -0,0001	 1318,9189
-0,86425781	 -0,0001	 1329,7297
-0,86730957	 -0,0001	 1340,5405
-0,86883545	 -0,0001	 1351,3514
-0,87249756	 -0,0001	 1362,1622
-0,87341309	 -0,0001	 1372,973
-0,87554932	 -0,0001	 1383,7838
-0,86730957	 -0,0001	 1394,5946
-0,85906982	 -0,0001	 1405,4054
-0,84747314	 -0,0001	 1416,2162
-0,84106445	 -0,0001	 1427,027
-0,83435059	 -0,0001	 1437,8378
-0,82824707	 -0,0001	 1448,6486
-0,82489014	 -0,0001	 1459,4595
-0,8203125	 -0,0001	 1470,2703
-0,81726074	 -0,0001	 1481,0811
-0,81481934	 -0,0001	 1491,8919
-0,81207275	 -0,0001	 1502,7027
-0,80993652	 -0,0001	 1513,5135
-0,80780029	 -0,0001	 1524,3243
-0,80657959	 -0,0001	 1535,1351
-0,80505371	 -0,0001	 1545,9459
-0,80322266	 -0,0001	 1556,7568
-0,8026123	 -0,0001	 1567,5676
-0,80108643	 -0,0001	 1578,3784
-0,79986572	 -0,0001	 1589,1892
-0,8001709	 -0,0001	 1600
-0,79986572	 -0,0001	 1610,8108
-0,7989502	 -0,0001	 1621,6216
-0,79803467	 -0,0001	 1632,4324
-0,7989502	 -0,0001	 1643,2432
-0,79803467	 -0,0001	 1654,0541
-0,79803467	 -0,0001	 1664,8649
-0,79772949	 -0,0001	 1675,6757
-0,79864502	 -0,0001	 1686,4865
-0,79772949	 -0,0001	 1697,2973
-0,79864502	 -0,0001	 1708,1081
-0,79803467	 -0,0001	 1718,9189
-0,79956055	 -0,0001	 1729,7297
-0,79833984	 -0,0001	 1740,5405
-0,79864502	 -0,0001	 1751,3514
-0,7989502	 -0,0001	 1762,1622
-0,79986572	 -0,0001	 1772,973
-0,80108643	 -0,0001	 1783,7838
-0,8001709	 -0,0001	 1794,5946
-0,80047607	 -0,0001	 1805,4054
-0,8013916	 -0,0001	 1816,2162
-0,8026123	 -0,0001	 1827,027
-0,80291748	 -0,0001	 1837,8378
-0,80383301	 -0,0001	 1848,6486
-0,80444336	 -0,0001	 1859,4595
-0,80505371	 -0,0001	 1870,2703
-0,80596924	 -0,0001	 1881,0811
-0,80688477	 -0,0001	 1891,8919
-0,80810547	 -0,0001	 1902,7027
-0,80932617	 -0,0001	 1913,5135
-0,8102417	 -0,0001	 1924,3243
-0,81085205	 -0,0001	 1935,1351
-0,81268311	 -0,0001	 1945,9459
-0,81451416	 -0,0001	 1956,7568
-0,81573486	 -0,0001	 1967,5676
-0,81665039	 -0,0001	 1978,3784
-0,81787109	 -0,0001	 1989,1892
-0,81817627	 -0,0001	 2000
-0,8190918	 -0,0001	 2010,8108
-0,82092285	 -0,0001	 2021,6216
-0,82183838	 -0,0001	 2032,4324
-0,82214355	 -0,0001	 2043,2432
-0,82458496	 -0,0001	 2054,0541
-0,82580566	 -0,0001	 2064,8649
-0,82580566	 -0,0001	 2075,6757
-0,82763672	 -0,0001	 2086,4865
-0,82855225	 -0,0001	 2097,2973
-0,82977295	 -0,0001	 2108,1081
-0,83312988	 -0,0001	 2118,9189
-0,83435059	 -0,0001	 2129,7297
-0,83526611	 -0,0001	 2140,5405
-0,83709717	 -0,0001	 2151,3514
-0,8380127	 -0,0001	 2162,1622
-0,8392334	 -0,0001	 2172,973
-0,84106445	 -0,0001	 2183,7838
-0,84289551	 -0,0001	 2194,5946
-0,84503174	 -0,0001	 2205,4054
-0,84533691	 -0,0001	 2216,2162
-0,84686279	 -0,0001	 2227,027
-0,8480835	 -0,0001	 2237,8378
-0,84960938	 -0,0001	 2248,6486
-0,8505249	 -0,0001	 2259,4595
-0,85357666	 -0,0001	 2270,2703
-0,85510254	 -0,0001	 2281,0811
-0,85510254	 -0,0001	 2291,8919
-0,84655762	 -0,0001	 2302,7027
-0,84106445	 -0,0001	 2313,5135
-0,83496094	 -0,0001	 2324,3243
-0,82977295	 -0,0001	 2335,1351
-0,82550049	 -0,0001	 2345,9459
-0,82214355	 -0,0001	 2356,7568
-0,81817627	 -0,0001	 2367,5676
-0,81604004	 -0,0001	 2378,3784
-0,81237793	 -0,0001	 2389,1892
-0,81054688	 -0,0001	 2400
-0,80780029	 -0,0001	 2410,8108
-0,80718994	 -0,0001	 2421,6216
-0,80505371	 -0,0001	 2432,4324
-0,80352783	 -0,0001	 2443,2432
-0,80108643	 -0,0001	 2454,0541
-0,79986572	 -0,0001	 2464,8649
-0,79803467	 -0,0001	 2475,6757
-0,79742432	 -0,0001	 2486,4865
-0,79620361	 -0,0001	 2497,2973
-0,79559326	 -0,0001	 2508,1081
-0,79589844	 -0,0001	 2518,9189
-0,79528809	 -0,0001	 2529,7297
-0,79467773	 -0,0001	 2540,5405
-0,79437256	 -0,0001	 2551,3514
-0,79437256	 -0,0001	 2562,1622
-0,79437256	 -0,0001	 2572,973
-0,79498291	 -0,0001	 2583,7838
-0,79376221	 -0,0001	 2594,5946
-0,79467773	 -0,0001	 2605,4054
-0,79528809	 -0,0001	 2616,2162
-0,79498291	 -0,0001	 2627,027
-0,79498291	 -0,0001	 2637,8378
-0,79498291	 -0,0001	 2648,6486
-0,79559326	 -0,0001	 2659,4595
-0,79559326	 -0,0001	 2670,2703
-0,79650879	 -0,0001	 2681,0811
-0,79681396	 -0,0001	 2691,8919
-0,79742432	 -0,0001	 2702,7027
-0,79711914	 -0,0001	 2713,5135
-0,79803467	 -0,0001	 2724,3243
-0,79864502	 -0,0001	 2735,1351
-0,79925537	 -0,0001	 2745,9459
-0,79956055	 -0,0001	 2756,7568
-0,80078125	 -0,0001	 2767,5676
-0,8013916	 -0,0001	 2778,3784
-0,8026123	 -0,0001	 2789,1892
-0,80291748	 -0,0001	 2800
-0,80444336	 -0,0001	 2810,8108
-0,80535889	 -0,0001	 2821,6216
-0,80566406	 -0,0001	 2832,4324
-0,80688477	 -0,0001	 2843,2432
-0,80810547	 -0,0001	 2854,0541
-0,809021	 -0,0001	 2864,8649
-0,8102417	 -0,0001	 2875,6757
-0,8114624	 -0,0001	 2886,4865
-0,81176758	 -0,0001	 2897,2973
-0,81329346	 -0,0001	 2908,1081
-0,81481934	 -0,0001	 2918,9189
-0,81634521	 -0,0001	 2929,7297
-0,81695557	 -0,0001	 2940,5405
-0,81817627	 -0,0001	 2951,3514
-0,82000732	 -0,0001	 2962,1622
-0,8215332	 -0,0001	 2972,973
-0,82244873	 -0,0001	 2983,7838
-0,82305908	 -0,0001	 2994,5946
-0,82397461	 -0,0001	 3005,4054
-0,82611084	 -0,0001	 3016,2162
-0,82702637	 -0,0001	 3027,027
-0,82885742	 -0,0001	 3037,8378
-0,82977295	 -0,0001	 3048,6486
-0,83068848	 -0,0001	 3059,4595
-0,83251953	 -0,0001	 3070,2703
-0,83404541	 -0,0001	 3081,0811
-0,83587646	 -0,0001	 3091,8919
-0,83709717	 -0,0001	 3102,7027
-0,8392334	 -0,0001	 3113,5135
-0,8404541	 -0,0001	 3124,3243
-0,84136963	 -0,0001	 3135,1351
-0,84228516	 -0,0001	 3145,9459
-0,84411621	 -0,0001	 3156,7568
-0,84564209	 -0,0001	 3167,5676
-0,84686279	 -0,0001	 3178,3784
-0,84869385	 -0,0001	 3189,1892
-0,84960938	 -0,0001	 3200
-0,85144043	 -0,0001	 3210,8108
-0,8493042	 -0,0001	 3221,6216
-0,84136963	 -0,0001	 3232,4324
-0,83557129	 -0,0001	 3243,2432
-0,83068848	 -0,0001	 3254,0541
-0,82794189	 -0,0001	 3264,8649
-0,82366943	 -0,0001	 3275,6757
-0,81970215	 -0,0001	 3286,4865
-0,81726074	 -0,0001	 3297,2973
-0,81420898	 -0,0001	 3308,1081
-0,81237793	 -0,0001	 3318,9189
-0,809021	 -0,0001	 3329,7297
-0,80749512	 -0,0001	 3340,5405
-0,80535889	 -0,0001	 3351,3514
-0,80413818	 -0,0001	 3362,1622
-0,80291748	 -0,0001	 3372,973
-0,8013916	 -0,0001	 3383,7838
-0,79986572	 -0,0001	 3394,5946
-0,7989502	 -0,0001	 3405,4054
-0,79833984	 -0,0001	 3416,2162
-0,79772949	 -0,0001	 3427,027
-0,79711914	 -0,0001	 3437,8378
-0,79620361	 -0,0001	 3448,6486
-0,79498291	 -0,0001	 3459,4595
-0,79528809	 -0,0001	 3470,2703
-0,79528809	 -0,0001	 3481,0811
-0,79528809	 -0,0001	 3491,8919
-0,79467773	 -0,0001	 3502,7027
-0,79376221	 -0,0001	 3513,5135
-0,79345703	 -0,0001	 3524,3243
-0,79376221	 -0,0001	 3535,1351
-0,79498291	 -0,0001	 3545,9459
-0,79467773	 -0,0001	 3556,7568
-0,79528809	 -0,0001	 3567,5676
-0,79559326	 -0,0001	 3578,3784
-0,79528809	 -0,0001	 3589,1892
-0,79650879	 -0,0001	 3600
-0,79681396	 -0,0001	 3610,8108
-0,79772949	 -0,0001	 3621,6216
-0,7989502	 -0,0001	 3632,4324
-0,79956055	 -0,0001	 3643,2432
-0,8001709	 -0,0001	 3654,0541
-0,80108643	 -0,0001	 3664,8649
-0,8013916	 -0,0001	 3675,6757
-0,8026123	 -0,0001	 3686,4865
-0,80444336	 -0,0001	 3697,2973
-0,80505371	 -0,0001	 3708,1081
-0,80535889	 -0,0001	 3718,9189
-0,80657959	 -0,0001	 3729,7297
-0,80749512	 -0,0001	 3740,5405
-0,80871582	 -0,0001	 3751,3514
-0,809021	 -0,0001	 3762,1622
-0,80993652	 -0,0001	 3772,973
-0,81085205	 -0,0001	 3783,7838
-0,81115723	 -0,0001	 3794,5946
-0,81237793	 -0,0001	 3805,4054
-0,81390381	 -0,0001	 3816,2162
-0,81481934	 -0,0001	 3827,027
-0,81634521	 -0,0001	 3837,8378
-0,81787109	 -0,0001	 3848,6486
-0,81817627	 -0,0001	 3859,4595
-0,82000732	 -0,0001	 3870,2703
-0,8215332	 -0,0001	 3881,0811
-0,82336426	 -0,0001	 3891,8919
-0,82427979	 -0,0001	 3902,7027
-0,82458496	 -0,0001	 3913,5135
-0,82550049	 -0,0001	 3924,3243
-0,82641602	 -0,0001	 3935,1351
-0,82794189	 -0,0001	 3945,9459
-0,82885742	 -0,0001	 3956,7568
-0,82977295	 -0,0001	 3967,5676
-0,83251953	 -0,0001	 3978,3784
-0,83282471	 -0,0001	 3989,1892
-0,83404541	 -0,0001	 4000
-0,83496094	 -0,0001	 4010,8108
-0,83679199	 -0,0001	 4021,6216
-0,83740234	 -0,0001	 4032,4324
-0,83831787	 -0,0001	 4043,2432
