Angle Intensity Error
15.300 253.000 1.000
15.320 270.000 1.000
15.340 275.000 1.000
15.360 283.000 1.000
15.380 277.000 1.000
15.400 254.000 1.000
15.420 268.000 1.000
15.440 281.000 1.000
15.460 283.000 1.000
15.480 273.000 1.000
15.500 285.000 1.000
15.520 276.000 1.000
15.540 272.000 1.000
15.560 265.000 1.000
15.580 278.000 1.000
15.600 287.000 1.000
15.620 292.000 1.000
15.640 272.000 1.000
15.660 276.000 1.000
15.680 274.000 1.000
15.700 287.000 1.000
15.720 289.000 1.000
15.740 290.000 1.000
15.760 276.000 1.000
15.780 270.000 1.000
15.800 280.000 1.000
15.820 288.000 1.000
15.840 272.000 1.000
15.860 288.000 1.000
15.880 295.000 1.000
15.900 288.000 1.000
15.920 277.000 1.000
15.940 281.000 1.000
15.960 294.000 1.000
15.980 299.000 1.000
16.000 281.000 1.000
16.020 278.000 1.000
16.040 295.000 1.000
16.060 308.000 1.000
16.080 284.000 1.000
16.100 286.000 1.000
16.120 301.000 1.000
16.140 297.000 1.000
16.160 282.000 1.000
16.180 284.000 1.000
16.200 307.000 1.000
16.220 285.000 1.000
16.240 275.000 1.000
16.260 299.000 1.000
16.280 291.000 1.000
16.300 307.000 1.000
16.320 311.000 1.000
16.340 298.000 1.000
16.360 285.000 1.000
16.380 292.000 1.000
16.400 290.000 1.000
16.420 320.000 1.000
16.440 295.000 1.000
16.460 278.000 1.000
16.480 290.000 1.000
16.500 306.000 1.000
16.520 274.000 1.000
16.540 300.000 1.000
16.560 285.000 1.000
16.580 313.000 1.000
16.600 308.000 1.000
16.620 295.000 1.000
16.640 299.000 1.000
16.660 301.000 1.000
16.680 304.000 1.000
16.700 290.000 1.000
16.720 315.000 1.000
16.740 320.000 1.000
16.760 319.000 1.000
16.780 306.000 1.000
16.800 286.000 1.000
16.820 310.000 1.000
16.840 331.000 1.000
16.860 313.000 1.000
16.880 303.000 1.000
16.900 307.000 1.000
16.920 318.000 1.000
16.940 307.000 1.000
16.960 334.000 1.000
16.980 338.000 1.000
17.000 313.000 1.000
17.020 291.000 1.000
17.040 302.000 1.000
17.060 319.000 1.000
17.080 285.000 1.000
17.100 308.000 1.000
17.120 316.000 1.000
17.140 310.000 1.000
17.160 313.000 1.000
17.180 333.000 1.000
17.200 302.000 1.000
17.220 323.000 1.000
17.240 335.000 1.000
17.260 312.000 1.000
17.280 344.000 1.000
17.300 340.000 1.000
17.320 314.000 1.000
17.340 311.000 1.000
17.360 310.000 1.000
17.380 314.000 1.000
17.400 308.000 1.000
17.420 300.000 1.000
17.440 311.000 1.000
17.460 323.000 1.000
17.480 316.000 1.000
17.500 315.000 1.000
17.520 324.000 1.000
17.540 306.000 1.000
17.560 313.000 1.000
17.580 326.000 1.000
17.600 334.000 1.000
17.620 355.000 1.000
17.640 337.000 1.000
17.660 328.000 1.000
17.680 339.000 1.000
17.700 351.000 1.000
17.720 342.000 1.000
17.740 342.000 1.000
17.760 341.000 1.000
17.780 329.000 1.000
17.800 328.000 1.000
17.820 341.000 1.000
17.840 342.000 1.000
17.860 333.000 1.000
17.880 335.000 1.000
17.900 332.000 1.000
17.920 309.000 1.000
17.940 336.000 1.000
17.960 344.000 1.000
17.980 341.000 1.000
18.000 339.000 1.000
18.020 332.000 1.000
18.040 324.000 1.000
18.060 315.000 1.000
18.080 332.000 1.000
18.100 340.000 1.000
18.120 339.000 1.000
18.140 339.000 1.000
18.160 335.000 1.000
18.180 339.000 1.000
18.200 333.000 1.000
18.220 340.000 1.000
18.240 345.000 1.000
18.260 347.000 1.000
18.280 343.000 1.000
18.300 335.000 1.000
18.320 342.000 1.000
18.340 347.000 1.000
18.360 332.000 1.000
18.380 346.000 1.000
18.400 365.000 1.000
18.420 348.000 1.000
18.440 356.000 1.000
18.460 350.000 1.000
18.480 345.000 1.000
18.500 340.000 1.000
18.520 330.000 1.000
18.540 343.000 1.000
18.560 332.000 1.000
18.580 345.000 1.000
18.600 376.000 1.000
18.620 389.000 1.000
18.640 358.000 1.000
18.660 346.000 1.000
18.680 362.000 1.000
18.700 377.000 1.000
18.720 390.000 1.000
18.740 372.000 1.000
18.760 397.000 1.000
18.780 364.000 1.000
18.800 364.000 1.000
18.820 384.000 1.000
18.840 378.000 1.000
18.860 355.000 1.000
18.880 358.000 1.000
18.900 362.000 1.000
18.920 349.000 1.000
18.940 336.000 1.000
18.960 367.000 1.000
18.980 375.000 1.000
19.000 363.000 1.000
19.020 370.000 1.000
19.040 369.000 1.000
19.060 374.000 1.000
19.080 367.000 1.000
19.100 355.000 1.000
19.120 362.000 1.000
19.140 363.000 1.000
19.160 347.000 1.000
19.180 356.000 1.000
19.200 369.000 1.000
19.220 373.000 1.000
19.240 386.000 1.000
19.260 392.000 1.000
19.280 370.000 1.000
19.300 371.000 1.000
19.320 397.000 1.000
19.340 414.000 1.000
19.360 383.000 1.000
19.380 380.000 1.000
19.400 401.000 1.000
19.420 372.000 1.000
19.440 381.000 1.000
19.460 374.000 1.000
19.480 402.000 1.000
19.500 407.000 1.000
19.520 379.000 1.000
19.540 377.000 1.000
19.560 391.000 1.000
19.580 386.000 1.000
19.600 367.000 1.000
19.620 372.000 1.000
19.640 374.000 1.000
19.660 400.000 1.000
19.680 413.000 1.000
19.700 411.000 1.000
19.720 366.000 1.000
19.740 391.000 1.000
19.760 405.000 1.000
19.780 387.000 1.000
19.800 397.000 1.000
19.820 389.000 1.000
19.840 401.000 1.000
19.860 435.000 1.000
19.880 405.000 1.000
19.900 429.000 1.000
19.920 402.000 1.000
19.940 398.000 1.000
19.960 394.000 1.000
19.980 387.000 1.000
20.000 376.000 1.000
20.020 396.000 1.000
20.040 393.000 1.000
20.060 403.000 1.000
20.080 381.000 1.000
20.100 386.000 1.000
